"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.32188773768204,0.0433143684620558,0.00790089465380243,0.00809875248209077,0.00535366490140552,0.0218446181986415,0.0402449363492357,0.0300048285093178,0.0140891896087446,0.0166689577257477,0.00948068369620356,0.00741126369320495,0.00128204374947125,0.000779343274432099,8.23608294852062e-66,6.37926582041049e-120
"5-9",0.0541989895767918,5.3689245536362,0.27940537237954,0.028387747670829,0.0306441433143973,0.0899617431047035,0.129680985654115,0.119864221334478,0.100391136919994,0.0561591007326313,0.0409918420135904,0.0114780562608925,0.00450064063235022,0.00160855569563485,0.000347310609846727,8.0892796433989e-39
"10-14",0.000457515913976622,1.08473634688798,5.89238031995426,0.167768313841305,0.0185309377141736,0.0660045857351305,0.074162106791308,0.115586015504405,0.104457271461764,0.0645977669310933,0.0394322483988834,0.0180273372226787,0.00466299343624875,0.000814929684349081,4.93448766704469e-25,0.000182116080706255
"15-19",0.00259718033405829,0.0426851120508944,1.6812424476641,5.29067555893562,0.0703763276854105,0.0689503411311975,0.0849453499843281,0.116833067688667,0.0852157441386818,0.0792548924649316,0.0381559612997273,0.0206918384135849,0.00481884669517724,0.00115910018703678,6.20500126821373e-33,1.70617059325418e-70
"20-24",0.00719600055509664,0.0245023295724144,0.00918360674104081,0.719761431209952,0.395498949842892,0.0482325419773171,0.0349894021053336,0.0421577313902015,0.0243041587353404,0.025216850191603,0.0122898559185332,0.00828949253654349,0.00065002749191223,0.00131548395318383,0.000177112033538959,1.21942353360566e-47
"25-29",0.00704907243557684,0.125375727342328,0.0370374341283221,0.176322624239388,0.267160829844775,0.169323559351232,0.032075649974344,0.0416949648916881,0.0445637718407101,0.0326977757002348,0.00777771110182852,0.011923867030521,0.00407154256881451,0.00257216026917498,0.000463009072945255,0.00128588195824445
"30-34",0.0141773725733997,0.463083575771568,0.288007600798548,0.169027358705855,0.0527182451282158,0.100397034639812,0.0990411128016735,0.0673869441848827,0.0658088381155735,0.0285392672905161,0.0211155207914989,0.00299185186340945,0.00541191623050075,0.000488295267202422,1.65434422316977e-48,3.11212249272466e-55
"35-39",0.0241486375114146,0.267359915814639,0.184260200910953,0.0862334205648253,0.0203459444015928,0.0634263797095641,0.0959465685583941,0.0703515699045834,0.0704370075789619,0.0281953823352273,0.00380366170152071,0.00827391597240573,0.00056644268898646,0.00228493575688176,1.84437465118351e-123,9.69678495758287e-67
"40-44",0.00782489165221623,0.132965257942523,0.0995160072799779,0.369460789065426,0.00884868094543774,0.0285774489998812,0.0303248054538724,0.0403368294107614,0.0785503260490669,0.0237369136286267,0.0244266026742515,0.00649239865402587,0.00545378739353943,0.000512271333473522,4.81185111331768e-68,2.40240461403139e-92
"45-49",0.0655665142949512,0.235546485182046,0.144477615864252,0.475338537490612,0.00541668272157579,0.029802283698557,0.0617572051786044,0.0526895190371288,0.0452311634112439,0.0235575661137357,0.0273112828385826,0.0122732787279821,0.00310519668215509,0.00174680357006305,6.20804631585106e-134,3.27275904308409e-72
"50-54",0.0172819178143441,0.335985562493307,0.399927078008432,0.395103150604883,0.00498688358904148,0.0138040525706792,0.0410946703633155,0.0401652536786322,0.0466429773054004,0.0564141765771144,0.0274343865446005,0.0145860053550848,0.00433196036001433,9.10906157442542e-24,1.23775927793571e-117,5.64219298570947e-78
"55-59",0.061443329603934,0.283127246176124,0.235063906625711,0.247843670590963,0.00545285921981517,0.0497607513794631,0.0204182805617984,0.0340552273225537,0.0406884292075462,0.0268465655290118,0.0229500931610476,0.0259445361745177,0.00854267839908319,1.15042960889294e-31,0.000781851034145257,0.000762416028953253
"60-64",0.0363706178358753,0.0562879574817575,0.0277912991468363,0.12272800258109,0.0117920370022963,0.00161254032763804,0.0154642386975595,0.0429307516718977,0.00912566122252339,0.0136131941599195,0.0106091639536733,0.00555107070730315,0.0199174057043425,0.0111969308252671,4.42231648239719e-67,2.12059056296912e-37
"65-69",0.00167985067689259,0.031411245362266,0.0118640776729596,8.18203625632098e-32,0.00206405704423901,0.002052355113128,0.0135653176156705,0.00590926040969015,0.00580147494940781,0.00898210947207449,0.00199736672289834,0.0151403516893033,0.0081831165728653,0.0176526446115624,0.0111241570899822,3.45701652061433e-126
"70-74",1.28088351276679e-28,5.10855844112413e-26,1.92903551649214e-40,0.0075965035949059,2.63509337071301e-22,1.69709504393766e-24,1.25870506693346e-26,0.00762147791239043,0.00784934105012432,0.0211477761647156,0.0352056610232491,0.0214330377379487,0.00773832902670395,0.00801346681814966,0.00791284833671784,0.0213825783093417
"75+",2.81655664813427e-94,0.0211293231249991,8.46386436434122e-42,0.0212476791325468,4.89740748842811e-36,0.0075917900586197,9.77318587162531e-69,2.23136637866017e-60,1.4372138335498e-48,8.55958888644544e-60,4.69433225042667e-42,1.5981125627971e-46,2.20968579685509e-83,8.8588322368381e-107,1.02042800487331e-80,6.61413871646655e-113
