"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.38033,0.96652,0.5435,0.35138,0.57094,0.86384,0.96917,0.81853,0.52384,0.34812,0.42189,0.37731,0.27835,0.20898,0.13938,0.07407
"2",0.87743,6.81214,1.35738,0.42121,0.2595,0.62217,0.90133,0.90321,0.74305,0.36313,0.26779,0.2927,0.27669,0.18669,0.0987,0.07497
"3",0.35831,2.28777,10.62813,0.96498,0.38201,0.33472,0.51949,0.73098,0.81444,0.49246,0.29429,0.18306,0.1426,0.14221,0.11149,0.09138
"4",0.18936,0.42507,3.14532,8.62789,1.03834,0.49263,0.34778,0.53944,0.66495,0.6123,0.31693,0.14815,0.10319,0.07654,0.04883,0.0343
"5",0.31793,0.24776,0.29828,2.0329,2.99808,1.4847,0.93311,0.8032,0.75258,0.87125,0.61091,0.36264,0.18697,0.06664,0.07659,0.06402
"6",0.79289,0.38342,0.20503,0.6131,1.8791,2.96258,1.74874,1.32802,1.12919,1.00574,0.97591,0.54974,0.30294,0.09676,0.05545,0.03581
"7",0.93657,1.06822,0.79772,0.36798,1.01194,1.81775,2.52114,1.84024,1.39043,1.10647,0.95644,0.75043,0.43662,0.17488,0.09783,0.08751
"8",0.85408,1.22347,1.05928,0.59901,0.65669,1.27449,1.63173,2.41295,1.89133,1.25768,0.93951,0.59982,0.47896,0.25746,0.15959,0.06335
"9",0.52918,0.86304,1.0217,0.82588,0.80545,1.07076,1.40504,1.63087,2.17847,1.51851,1.08502,0.46137,0.38677,0.17877,0.12789,0.0604
"10",0.29427,0.54214,0.63624,0.90238,0.78156,0.87848,1.0003,1.20662,1.3341,1.55042,1.03817,0.53388,0.28693,0.10887,0.10355,0.09299
"11",0.48985,0.52146,0.69822,0.80147,0.9413,1.2229,1.07282,1.04426,1.44261,1.57289,1.43943,0.88571,0.41347,0.13182,0.10096,0.08807
"12",1.03649,1.06553,0.68704,0.83704,0.91557,1.43306,1.51333,1.13254,1.24324,1.11066,1.377,1.32818,0.74887,0.2916,0.14893,0.10472
"13",1.40084,1.32015,0.81492,0.8142,0.80571,1.24381,1.43342,1.49837,1.27766,1.08206,1.05976,1.21943,1.0658,0.56257,0.34853,0.14244
"14",0.79681,1.13477,0.89173,0.4745,0.47606,0.58686,0.87946,0.89896,0.79198,0.42996,0.48246,0.54629,0.56825,0.60614,0.28743,0.13832
"15",0.35829,0.95558,0.73833,0.641,0.20252,0.40606,0.3716,0.66566,0.69332,0.54276,0.41337,0.31336,0.5412,0.47451,0.51377,0.22749
"16",0.22295,0.29126,0.39539,0.32305,0.12011,0.1163,0.18273,0.25833,0.25996,0.27405,0.26897,0.159,0.12191,0.176,0.15713,0.11678
