"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.779385287021298,0.333777617346692,0.165849304632583,0.126944980982569,0.229631014678868,0.365628277796876,0.420261208579175,0.358740686237613,0.258388334596857,0.176380895851474,0.230572280619536,0.20428148597449,0.150263697955593,0.14063246256092,0.0778771658414296,0.0363715023785616
"5-9",0.363432789742176,1.35426293522344,0.481923956096925,0.138518068727259,0.125529345146464,0.259736250536998,0.315396857640163,0.348517678092685,0.313594039200483,0.145205096186524,0.125756375274569,0.138282467832376,0.142307037896789,0.115502657477186,0.0483606272498494,0.0354493790163166
"10-14",0.11369872328963,0.598007278870356,2.05393750105087,0.332657265514955,0.235435555372005,0.207589177318219,0.238337206645643,0.283498856185375,0.348228650997228,0.213199784785854,0.151488062196236,0.0999654172272331,0.0777334094192274,0.0874562834615459,0.0548174654635637,0.0468273001380254
"15-19",0.0643253022319735,0.200324288382122,0.905081515466769,2.81253369516731,0.728579928854568,0.355291038572783,0.223793841580089,0.266543847344965,0.290354730528396,0.248864081973615,0.12151697044582,0.0640363133003028,0.0520070445684276,0.0514994990345475,0.0271160419928363,0.017872398280287
"20-24",0.0977148720311804,0.123127835026956,0.178247737126917,1.18937710675353,2.05811904680681,0.848222384883905,0.499927586686768,0.330331648195803,0.273257336630488,0.307118930009792,0.201730515752021,0.141776455362649,0.0632011411689802,0.0528262555096775,0.0510769074811996,0.0399468519991004
"25-29",0.176099746698432,0.0905652649378498,0.0791688729267972,0.320694674531498,0.958671141175921,1.27548226884357,0.721342847826385,0.4804928868232,0.341740917570629,0.298189991259562,0.272624611501928,0.15512571329226,0.0677164095533485,0.0549005703176045,0.0303744500492181,0.0152008133606256
"30-34",0.176927404213972,0.12440865050009,0.183495689636171,0.151562796717833,0.429395087694466,0.658186435997161,0.82102400758923,0.58311439922744,0.390322409370625,0.287408453519426,0.315305582912233,0.241494709026228,0.122469883344179,0.097243996539339,0.0432823678558975,0.0399312458893692
"35-39",0.159717456971627,0.186251181942058,0.136223991706404,0.104479388614904,0.266318078167504,0.48734432708456,0.606619068919291,0.735188864465445,0.545275719253223,0.337279497849219,0.248679522885859,0.2091560814564,0.199009419201772,0.151615828094108,0.0789546177066124,0.0310220516206311
"40-44",0.116292111129828,0.149296570141274,0.227118776066095,0.151124703506634,0.290277197874346,0.363402011530362,0.498878123293829,0.53624667071648,0.618681392555527,0.363107596742396,0.269480305829946,0.134520494504922,0.141176924685434,0.109211806924369,0.0734497158235387,0.0307915603385208
"45-49",0.0338610961188214,0.0550692635413958,0.0696554401848723,0.137612572233101,0.202413940871797,0.26197072870343,0.319536360890589,0.355076797227166,0.362364696497021,0.357945733425364,0.301267427323521,0.146375382758169,0.115337134275169,0.0832258702752672,0.0655726926086231,0.0502746693504816
"50-54",0.058252130780374,0.108167733551166,0.119230703479133,0.183600942999326,0.358801273128244,0.474871818051309,0.346130515996744,0.333990643024217,0.402011590218252,0.432803521096205,0.367733373062267,0.309208277553387,0.208184882400847,0.12532965807094,0.0730241826035273,0.0488818964754898
"55-59",0.0841570264047587,0.0740900306927997,0.0773924333171181,0.0951468696186746,0.254972151730422,0.448100535121856,0.461852407102198,0.381201965819231,0.396306398754213,0.269183153390656,0.427264627657804,0.423364117398115,0.303689174835394,0.186816792877961,0.0915325675203563,0.049350298538642
"60-64",0.0626665188657244,0.0678014359735078,0.056658240285227,0.093246349382663,0.210304303826105,0.337430519474656,0.34637121638119,0.412972866259173,0.37880930518723,0.295639297151829,0.289377048103315,0.380618612902684,0.366741774626482,0.294705074889665,0.182723942497148,0.0761358497859115
"65-69",0.0656498013683471,0.0858781531935102,0.0529865573821626,0.0577824673920967,0.180499282028133,0.293934865947768,0.37007870354276,0.329926810996052,0.334053979941964,0.255994604261918,0.30600181474304,0.351684218091802,0.369496768069505,0.354754706870705,0.16616093950767,0.0984437757772732
"70-74",0.0217439972569346,0.0456127132696232,0.0638038808804096,0.123346098341631,0.122390752396262,0.186081453114141,0.19062232675814,0.26393622710385,0.328724267318242,0.238793720566927,0.211225737063667,0.223889593820328,0.408204647743728,0.405410768392717,0.330344135370386,0.119580444747163
"75+",0.0333117284100687,0.033534888282368,0.0480896219113831,0.0275211909701246,0.0644529108026259,0.0897335410461467,0.169458359195691,0.13530575173368,0.137297385712687,0.164105640313108,0.129450023501828,0.132587394102667,0.139013022662103,0.204239060699196,0.157258630225077,0.105937444151245
