"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.27863,1.06873,0.68004,0.52996,0.88497,1.14778,1.09583,0.8865,0.62261,0.43744,0.55345,0.54846,0.3753,0.29179,0.18036,0.09345
"2",0.91455,6.39075,1.53156,0.55532,0.37398,0.94582,1.06509,0.95697,0.82353,0.42435,0.34807,0.40368,0.36728,0.24938,0.12284,0.09198
"3",0.43866,2.36342,8.63436,1.10225,0.51821,0.52768,0.75777,0.85581,0.92799,0.58566,0.38909,0.2624,0.19984,0.2041,0.14742,0.12281
"4",0.30197,0.61559,2.97527,7.50325,1.67478,0.89636,0.63687,0.87005,0.94449,0.82585,0.48803,0.26827,0.18627,0.14262,0.0796,0.05315
"5",0.52176,0.4002,0.44553,2.54983,3.64123,2.09743,1.29219,1.02886,0.92948,0.99461,0.71367,0.49836,0.23721,0.12474,0.12102,0.09766
"6",0.79888,0.46043,0.26476,0.81616,2.07652,2.74683,1.8922,1.43238,1.15372,1.00422,0.9556,0.57458,0.30218,0.14328,0.06273,0.0388
"7",0.65201,0.85776,0.78938,0.42038,1.00721,1.75605,2.06259,1.75373,1.35778,1.05923,0.90592,0.71287,0.39487,0.19473,0.09089,0.08083
"8",0.55769,0.87233,0.8433,0.65587,0.66714,1.28614,1.60941,1.97617,1.73049,1.19477,0.90661,0.59603,0.44857,0.26971,0.15191,0.06128
"9",0.36932,0.63587,0.85118,0.77507,0.80259,1.07745,1.466,1.54501,1.73987,1.35217,1.02179,0.45384,0.3805,0.21429,0.12987,0.06322
"10",0.20617,0.37255,0.49399,0.8166,0.70597,0.85287,1.01047,1.19785,1.19077,1.15561,0.90232,0.51181,0.27411,0.14363,0.1053,0.08944
"11",0.39281,0.38467,0.53559,0.79099,0.87456,1.16157,1.05542,1.00231,1.32668,1.30015,0.99948,0.76675,0.36482,0.15108,0.09105,0.07641
"12",0.56403,0.5027,0.35562,0.60426,0.66266,1.07842,1.14588,0.89408,0.99396,0.8552,0.926,0.71787,0.45204,0.21858,0.09331,0.06625
"13",0.52712,0.45734,0.28705,0.41534,0.46359,0.74122,0.82813,0.83735,0.77523,0.65986,0.61406,0.6207,0.34698,0.23256,0.15083,0.05991
"14",0.42032,0.51461,0.42168,0.31871,0.36487,0.50742,0.65006,0.53016,0.56414,0.32158,0.40384,0.39785,0.27206,0.15551,0.09398,0.05288
"15",0.16089,0.35901,0.2908,0.31727,0.12653,0.25151,0.21728,0.36228,0.35507,0.28016,0.20409,0.19386,0.30926,0.1963,0.17704,0.09095
"16",0.27997,0.33878,0.49625,0.44839,0.19206,0.18695,0.2494,0.39097,0.43141,0.33805,0.36265,0.24321,0.13145,0.15039,0.11547,0.06345
