"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.82887,1.38841,0.77256,0.49009,0.78002,1.12581,1.24818,1.06349,0.71714,0.48334,0.58146,0.53203,0.38883,0.30059,0.19945,0.10103
"2",1.21756,9.43748,1.7309,0.55697,0.33129,0.79944,1.07403,1.08579,0.9344,0.46729,0.35646,0.38457,0.36976,0.25141,0.13179,0.0967
"3",0.54127,2.85757,9.83066,1.17003,0.53017,0.47137,0.69315,0.93012,1.04528,0.6534,0.41071,0.25909,0.20304,0.20278,0.15602,0.12707
"4",0.35346,0.74453,3.192,7.67429,1.79706,0.90202,0.63846,0.92143,1.07083,0.97129,0.52996,0.25692,0.18113,0.14018,0.08462,0.05654
"5",0.57079,0.42675,0.51289,2.69061,4.36262,2.31803,1.46433,1.21937,1.0999,1.23486,0.86313,0.5377,0.25776,0.1309,0.12624,0.10255
"6",1.01998,0.49822,0.26211,0.8193,2.29361,3.25743,2.08278,1.58724,1.30944,1.12411,1.07302,0.60711,0.31676,0.14832,0.06482,0.03861
"7",0.93299,1.08061,0.78901,0.3954,1.08506,1.85612,2.38253,1.9073,1.45437,1.13448,0.94432,0.71869,0.39751,0.19575,0.08891,0.07779
"8",0.85189,1.20918,1.02015,0.66372,0.72117,1.32806,1.67179,2.29122,1.93331,1.2668,0.9472,0.5754,0.42736,0.25521,0.13986,0.05532
"9",0.57529,0.92496,1.02648,0.84301,0.88317,1.1346,1.49612,1.70615,2.08796,1.51325,1.08466,0.451,0.3525,0.19955,0.11649,0.05484
"10",0.352,0.644,0.71931,0.97886,0.8485,0.9237,1.07979,1.29004,1.36662,1.43149,1.02475,0.52192,0.26531,0.14272,0.10041,0.08677
"11",0.49331,0.5584,0.70687,0.7949,0.8915,1.15095,1.07227,1.04879,1.40345,1.45682,1.2284,0.79294,0.34373,0.13323,0.08319,0.06816
"12",0.72825,0.79821,0.50276,0.62012,0.66709,1.0241,1.13254,0.90069,1.0127,0.86667,1.00519,0.81563,0.46622,0.1911,0.08213,0.05593
"13",0.72482,0.69199,0.42058,0.43226,0.46592,0.71359,0.81541,0.88042,0.78429,0.6809,0.63408,0.66273,0.43353,0.26262,0.14204,0.05713
"14",0.43696,0.6285,0.48908,0.2719,0.30954,0.46478,0.60004,0.50275,0.53815,0.33526,0.39238,0.35319,0.32031,0.24296,0.12773,0.05943
"15",0.21065,0.55891,0.42186,0.3588,0.10467,0.21211,0.1927,0.34082,0.34494,0.26788,0.21232,0.15558,0.25908,0.22028,0.21074,0.10814
"16",0.16863,0.22178,0.30019,0.24423,0.08592,0.08035,0.12282,0.18468,0.18186,0.18065,0.18117,0.10233,0.07602,0.11145,0.09662,0.06287
