"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.08158,1.54267,0.84793,0.48405,0.76988,1.12027,1.16232,1.01951,0.70808,0.48216,0.5419,0.50176,0.36658,0.29609,0.19617,0.09915
"2",1.32911,8.50061,1.8355,0.54103,0.32749,0.82308,1.04453,1.07088,0.91709,0.47318,0.34335,0.36468,0.35598,0.24434,0.1266,0.0952
"3",0.52591,2.95875,10.82287,1.17412,0.51966,0.45839,0.69276,0.91857,1.00158,0.65605,0.40544,0.259,0.19682,0.19667,0.14977,0.12832
"4",0.28964,0.67526,3.61848,9.25853,1.72313,0.87314,0.63909,0.89475,1.03118,0.92279,0.49526,0.26595,0.17689,0.1377,0.07512,0.05247
"5",0.48535,0.35497,0.43745,2.66903,3.78587,2.02404,1.31545,1.1066,0.99204,1.10984,0.76753,0.50534,0.2615,0.12965,0.11214,0.09126
"6",0.83052,0.44334,0.20369,0.7232,1.96619,2.95184,1.97304,1.54811,1.30751,1.12126,1.05222,0.62361,0.35032,0.16076,0.05682,0.03243
"7",0.70416,0.96907,0.72124,0.35189,0.94024,1.76632,2.37268,1.92985,1.50691,1.24191,1.00521,0.78111,0.43008,0.2105,0.07722,0.07019
"8",0.66792,1.11003,0.98066,0.62326,0.63492,1.3082,1.71211,2.34748,2.03485,1.39121,1.07779,0.6516,0.44172,0.25699,0.125,0.05234
"9",0.44398,0.82304,0.99461,0.82891,0.80652,1.15234,1.57212,1.81031,2.24723,1.71858,1.27999,0.56376,0.40922,0.20691,0.10978,0.05157
"10",0.22421,0.47615,0.62671,0.90256,0.75757,0.93364,1.19049,1.38281,1.5132,1.63407,1.18891,0.66198,0.31727,0.16717,0.08918,0.07948
"11",0.22939,0.36849,0.54804,0.69006,0.74611,1.15525,1.18525,1.20048,1.64509,1.78542,1.56131,1.009,0.42259,0.14665,0.07024,0.05726
"12",0.33599,0.4292,0.34197,0.5337,0.57372,1.02714,1.23894,1.04816,1.26694,1.09314,1.27332,1.10805,0.59286,0.20345,0.07221,0.04891
"13",0.35261,0.37467,0.24153,0.32006,0.44307,0.81808,0.94921,1.06208,1.01616,0.9717,0.88122,0.99223,0.59713,0.3475,0.1462,0.06069
"14",0.19079,0.26193,0.22882,0.17663,0.2699,0.5545,0.65245,0.47305,0.5952,0.47085,0.55489,0.49235,0.48494,0.34934,0.14374,0.07372
"15",0.08941,0.27121,0.25375,0.22016,0.09477,0.17772,0.19249,0.32686,0.38469,0.30547,0.19866,0.17196,0.32691,0.30903,0.31083,0.16673
"16",0.10814,0.13407,0.24531,0.21207,0.07556,0.08753,0.15498,0.26008,0.23272,0.27883,0.2009,0.13523,0.10746,0.1848,0.17681,0.13408
