"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.68564,2.1568,1.27047,0.78005,1.19055,1.74502,1.92637,1.67769,1.15267,0.7927,0.95338,0.87011,0.6409,0.50665,0.33978,0.17059
"2",1.70632,6.67134,2.35783,0.83187,0.49762,1.15355,1.46394,1.52378,1.32286,0.68017,0.53116,0.57797,0.56121,0.38483,0.20012,0.14787
"3",0.81632,2.96141,9.76802,1.41417,0.6891,0.62275,0.84653,1.10053,1.23763,0.80149,0.52272,0.33524,0.26542,0.26362,0.20021,0.16537
"4",0.44132,0.8647,2.8922,6.76228,1.86822,0.99117,0.71371,0.95733,1.06282,0.96853,0.55091,0.28328,0.20332,0.15378,0.08514,0.05634
"5",0.60498,0.4534,0.50009,2.43875,3.86453,2.27578,1.50592,1.2927,1.10143,1.16962,0.86052,0.55299,0.30808,0.14001,0.11128,0.08986
"6",1.1564,0.55406,0.28302,0.86191,2.30037,3.46624,2.34788,1.88461,1.58381,1.31371,1.23874,0.73011,0.43064,0.18768,0.0582,0.03405
"7",1.10083,1.19041,0.80571,0.4328,1.1765,2.16248,2.69978,2.25677,1.79708,1.45459,1.15763,0.89386,0.50015,0.23542,0.07854,0.07012
"8",1.00255,1.30457,0.98143,0.68618,0.75928,1.56987,1.89783,2.51203,2.25522,1.55687,1.23113,0.72321,0.4562,0.24946,0.10986,0.0438
"9",0.57739,0.86066,0.81134,0.66634,0.83243,1.32607,1.71229,1.87632,2.22768,1.77375,1.37642,0.61087,0.42726,0.19068,0.07436,0.03466
"10",0.27704,0.50066,0.50037,0.69107,0.65947,1.01274,1.27912,1.46313,1.50761,1.53932,1.14883,0.69346,0.31733,0.14895,0.0493,0.04151
"11",0.37375,0.41462,0.52208,0.59402,0.6889,1.19955,1.30285,1.32496,1.7747,1.82158,1.54164,1.01307,0.4229,0.12663,0.04495,0.03542
"12",0.62048,0.6887,0.42791,0.54649,0.60095,1.07167,1.33912,1.17657,1.41414,1.2128,1.32744,1.04959,0.56482,0.17983,0.04843,0.03403
"13",0.70618,0.70497,0.42645,0.4207,0.51827,0.91564,1.03448,1.17629,1.16533,1.12381,1.03383,1.03404,0.50486,0.2638,0.09659,0.03864
"14",0.42858,0.64447,0.49052,0.28459,0.33446,0.65066,0.72342,0.47159,0.65523,0.49405,0.63041,0.49765,0.41663,0.18867,0.08596,0.04009
"15",0.15066,0.41538,0.29445,0.23731,0.06057,0.11694,0.09791,0.172,0.17213,0.14416,0.13521,0.09618,0.14072,0.10936,0.09417,0.05418
"16",0.12094,0.15946,0.20615,0.16351,0.05206,0.04805,0.06525,0.09825,0.08807,0.09384,0.10754,0.0608,0.04001,0.05975,0.04504,0.02624
