"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.65982,0.92156,0.40699,0.24893,0.36623,0.66182,0.93841,0.81545,0.45835,0.25904,0.29488,0.25173,0.19118,0.15099,0.10444,0.05775
"2",0.82175,8.24757,1.18171,0.29929,0.17495,0.39351,0.71227,0.84898,0.71467,0.28275,0.18683,0.18042,0.17259,0.1245,0.06514,0.05089
"3",0.23312,2.38987,12.69719,0.92085,0.28297,0.22769,0.35545,0.66094,0.87757,0.46187,0.23911,0.13492,0.09946,0.10232,0.0796,0.06817
"4",0.13365,0.35434,3.68244,11.00677,1.2574,0.60671,0.47598,0.67726,0.90451,0.84881,0.42732,0.18763,0.10658,0.07013,0.04189,0.02818
"5",0.24794,0.20729,0.27295,2.5364,4.06588,1.76515,1.18338,1.05685,0.94452,1.14987,0.79869,0.4494,0.20963,0.0745,0.07732,0.06434
"6",0.65759,0.2728,0.13957,0.69119,1.98407,3.77338,2.01409,1.5629,1.33994,1.12605,1.1125,0.60543,0.30479,0.09846,0.049,0.03087
"7",0.73759,0.7274,0.46022,0.35244,0.99752,1.81591,3.03021,1.97045,1.501,1.21295,0.97162,0.71691,0.36885,0.14466,0.07123,0.0669
"8",0.66221,0.97484,0.79549,0.65168,0.72215,1.42572,1.80187,3.10882,2.12984,1.40723,1.0749,0.62292,0.41104,0.21962,0.13261,0.05313
"9",0.36796,0.69792,0.98398,0.8816,0.89863,1.28639,1.66461,1.91281,2.95493,1.78166,1.28851,0.5385,0.37483,0.17484,0.11826,0.05544
"10",0.19627,0.38345,0.56068,1.09508,0.87977,1.04185,1.27505,1.47023,1.6286,2.24586,1.25437,0.64217,0.30481,0.13093,0.10861,0.09411
"11",0.29526,0.37029,0.53089,0.8525,0.99213,1.39622,1.31525,1.30877,1.77196,1.92711,2.07063,1.06487,0.44869,0.15415,0.10579,0.09141
"12",0.56506,0.59752,0.42624,0.68213,0.8283,1.3535,1.52937,1.2471,1.43702,1.22799,1.53817,1.83558,0.75665,0.29193,0.15181,0.10044
"13",0.68654,0.63315,0.4038,0.4847,0.63203,1.03913,1.19015,1.29026,1.18703,1.05518,1.00035,1.17379,1.43515,0.55211,0.33294,0.14276
"14",0.49407,0.70118,0.54116,0.32729,0.39828,0.58743,0.8142,0.76079,0.77636,0.50152,0.56578,0.62553,0.68303,1.09375,0.34893,0.16834
"15",0.28577,0.72312,0.58648,0.58037,0.22668,0.40987,0.41852,0.73435,0.77242,0.61497,0.46813,0.42162,0.77607,0.78029,1.05873,0.33603
"16",0.26528,0.32098,0.43329,0.34534,0.16282,0.17624,0.30585,0.36167,0.36955,0.41326,0.40182,0.27157,0.2418,0.33881,0.31336,0.32149
