"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.9383,1.33746,0.73071,0.4611,0.75732,1.11051,1.20744,1.01134,0.67565,0.45764,0.55233,0.50937,0.37204,0.28812,0.19062,0.09594
"2",1.23535,8.24425,1.68873,0.5392,0.32584,0.80904,1.10522,1.09134,0.92491,0.45827,0.34764,0.37704,0.36564,0.24968,0.13331,0.09672
"3",0.50146,2.71214,10.19089,1.16183,0.51283,0.45105,0.68071,0.93534,1.04201,0.63893,0.39553,0.24785,0.19437,0.19569,0.15373,0.12371
"4",0.29758,0.63684,3.15303,7.61948,1.49629,0.7373,0.51031,0.77204,0.92734,0.83631,0.44774,0.21196,0.15047,0.11715,0.07474,0.05048
"5",0.46464,0.34115,0.4209,2.28416,3.59342,1.90431,1.21778,0.99755,0.90952,1.04862,0.72531,0.448,0.20258,0.09754,0.10583,0.08608
"6",0.9887,0.47831,0.24962,0.73459,2.16954,3.17236,2.07205,1.5443,1.25974,1.09719,1.05652,0.59289,0.29494,0.12399,0.06631,0.0391
"7",1.01713,1.17949,0.87744,0.39201,1.10674,2.0011,2.66888,2.08555,1.55639,1.22032,1.03322,0.78685,0.42333,0.19492,0.10533,0.0911
"8",0.923,1.32099,1.16909,0.6466,0.70351,1.38137,1.8391,2.49946,2.05366,1.34273,1.00006,0.61845,0.4682,0.27309,0.1661,0.06593
"9",0.57021,0.92322,1.08898,0.85605,0.83129,1.11408,1.55301,1.75465,2.14686,1.54477,1.09917,0.45401,0.34604,0.18917,0.12909,0.06078
"10",0.31632,0.57175,0.66157,0.88268,0.77834,0.87592,1.08291,1.26428,1.338,1.42279,1.00938,0.50639,0.24312,0.11298,0.09883,0.08598
"11",0.4557,0.52752,0.69042,0.74759,0.85005,1.12709,1.08684,1.04308,1.3838,1.46044,1.24203,0.78511,0.3253,0.1161,0.08448,0.06921
"12",0.741,0.80015,0.51814,0.60713,0.66636,1.05477,1.18833,0.91598,1.01291,0.87577,1.03646,0.85133,0.47562,0.18831,0.09149,0.06213
"13",0.69076,0.65303,0.39893,0.40587,0.41894,0.67108,0.78828,0.82495,0.71275,0.61366,0.58205,0.62143,0.42126,0.24894,0.14765,0.05974
"14",0.41762,0.59399,0.4684,0.24284,0.2592,0.34332,0.5008,0.46758,0.4383,0.24069,0.27405,0.2854,0.27778,0.24841,0.13545,0.06243
"15",0.12679,0.34006,0.26574,0.22094,0.06674,0.13962,0.13114,0.22821,0.23285,0.17585,0.13788,0.103,0.16948,0.14814,0.14662,0.07575
"16",0.13746,0.18442,0.25369,0.20588,0.07353,0.06994,0.1096,0.16536,0.16104,0.16032,0.15671,0.09102,0.06872,0.10019,0.0898,0.05924
