"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.70753,2.42293,1.29239,0.7359,1.0668,1.58207,1.71499,1.55704,1.07201,0.7713,0.89828,0.8258,0.60321,0.49818,0.33878,0.16885
"2",1.83115,6.76542,2.38053,0.7799,0.47791,1.10058,1.26058,1.38733,1.16916,0.63745,0.49095,0.55176,0.52272,0.37271,0.18818,0.14246
"3",0.94829,3.15717,7.30479,1.35298,0.66846,0.65309,0.81682,1.05189,1.12479,0.77182,0.50211,0.3372,0.2631,0.27077,0.19527,0.16856
"4",0.58649,1.15116,2.91543,6.90362,2.00794,1.07854,0.7884,1.04595,1.05758,0.97865,0.53259,0.29252,0.21234,0.17204,0.08738,0.05947
"5",0.87801,0.70025,0.59217,2.61377,3.78525,2.15276,1.4197,1.19187,0.99026,1.054,0.73902,0.49183,0.27469,0.14349,0.11443,0.0939
"6",1.42915,0.80223,0.35823,0.86611,1.94434,2.68308,1.85719,1.51938,1.2449,1.06447,0.95186,0.55875,0.32587,0.16527,0.05144,0.0293
"7",1.16707,1.4113,0.8526,0.43259,0.96329,1.61926,1.92857,1.71257,1.38436,1.13863,0.89009,0.67825,0.37222,0.1981,0.05894,0.05572
"8",1.32501,1.91467,1.26583,0.78103,0.65799,1.25022,1.47305,1.88839,1.74612,1.24929,0.98511,0.58635,0.37405,0.21897,0.0875,0.03638
"9",0.8068,1.29562,1.02351,0.69754,0.715,1.0619,1.40395,1.52152,1.74363,1.43772,1.12176,0.50247,0.36631,0.18642,0.06758,0.03178
"10",0.50629,1.03089,0.89499,0.8989,0.62709,0.87116,1.07095,1.27391,1.25496,1.27279,0.97022,0.59741,0.29385,0.16833,0.05474,0.04629
"11",0.55774,0.68078,0.72162,0.67952,0.59601,0.96407,1.04703,1.10236,1.44973,1.48851,1.22284,0.82799,0.37263,0.13561,0.04953,0.03882
"12",1.00204,1.3603,0.68699,0.69862,0.54085,0.89089,1.09485,1.01326,1.16571,1.06135,1.07588,0.81621,0.46623,0.19384,0.04994,0.03992
"13",0.74307,0.94936,0.54454,0.43557,0.41366,0.67877,0.77882,0.98063,0.95508,0.95468,0.86403,0.82218,0.39439,0.23351,0.07596,0.03347
"14",0.62352,1.23529,0.93683,0.42003,0.35845,0.61602,0.67765,0.52061,0.68127,0.57191,0.68792,0.52893,0.40462,0.16662,0.069,0.04002
"15",0.16899,0.59643,0.37753,0.26392,0.05793,0.11321,0.07866,0.14903,0.14288,0.15949,0.18176,0.12864,0.13504,0.10503,0.08794,0.04834
"16",0.48485,0.69489,0.84016,0.58321,0.14163,0.11171,0.1219,0.24703,0.18376,0.24733,0.35183,0.21213,0.08914,0.13829,0.06037,0.03373
