"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.76588,1.00492,0.49074,0.32291,0.49324,0.78241,0.91299,0.77226,0.46927,0.30603,0.37251,0.32896,0.2441,0.18175,0.12185,0.06583
"2",0.98934,8.16076,1.32179,0.38865,0.24665,0.55782,0.86967,0.89215,0.71471,0.33515,0.24236,0.26396,0.24859,0.16918,0.08917,0.06929
"3",0.3381,2.46122,11.30538,1.00694,0.3776,0.31958,0.50563,0.749,0.85226,0.49626,0.28603,0.17534,0.13636,0.13668,0.10761,0.08947
"4",0.21142,0.47916,3.75978,11.33167,1.20506,0.55238,0.39297,0.6197,0.79148,0.73363,0.36823,0.16747,0.11418,0.08806,0.05459,0.0392
"5",0.38285,0.3006,0.36253,2.80529,3.94233,1.7605,1.11579,0.91393,0.8573,1.04968,0.72751,0.43095,0.20707,0.09136,0.09384,0.0797
"6",0.83078,0.38431,0.20591,0.63806,1.98962,3.47021,2.04844,1.53166,1.27057,1.11304,1.10764,0.62962,0.33467,0.12794,0.05863,0.03906
"7",0.84649,0.94232,0.68074,0.32852,0.97084,1.89817,2.84427,1.99558,1.50958,1.19938,1.00428,0.7897,0.43772,0.18502,0.08656,0.07855
"8",0.77288,1.10752,0.94361,0.53816,0.6301,1.36014,1.77668,2.65799,1.99483,1.3203,1.0081,0.63082,0.45762,0.25403,0.14484,0.05759
"9",0.53697,0.88744,1.08547,0.86875,0.82896,1.20767,1.65466,1.84401,2.49816,1.65039,1.19719,0.52557,0.41421,0.21224,0.13526,0.06411
"10",0.32741,0.58961,0.71508,1.0321,0.8816,1.0209,1.22703,1.40956,1.51163,1.84548,1.18479,0.62246,0.32348,0.1549,0.12127,0.10988
"11",0.52909,0.54507,0.72597,0.87127,1.05028,1.42778,1.31098,1.2254,1.62811,1.7598,1.72689,1.03417,0.46436,0.16927,0.11375,0.10158
"12",0.86394,0.87819,0.56239,0.71132,0.81519,1.38325,1.56304,1.17915,1.30047,1.1243,1.38172,1.40986,0.70792,0.27406,0.13013,0.09217
"13",1.0201,0.94031,0.57437,0.59233,0.63156,1.06901,1.26309,1.30996,1.13902,0.98369,0.94702,1.0839,0.93993,0.45786,0.26539,0.10977
"14",0.71939,1.01575,0.78553,0.42651,0.46753,0.67895,0.95076,0.8836,0.84758,0.50283,0.57732,0.59543,0.59857,0.64866,0.2716,0.13122
"15",0.35791,0.9448,0.72959,0.63473,0.2075,0.41937,0.38383,0.69114,0.7122,0.55124,0.41701,0.32488,0.56238,0.50374,0.58866,0.23741
"16",0.31774,0.40842,0.55513,0.45082,0.17181,0.16906,0.26759,0.37235,0.37514,0.39419,0.38874,0.2321,0.1796,0.25809,0.23082,0.18703
