"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.03627,1.05647,0.46755,0.29961,0.43427,0.71334,0.90084,0.74788,0.4473,0.28729,0.34052,0.30973,0.22568,0.17283,0.11547,0.05978
"2",1.02706,8.60325,1.23488,0.33915,0.21189,0.47298,0.77135,0.82448,0.65639,0.29704,0.20905,0.22579,0.21937,0.15053,0.07897,0.06
"3",0.30149,2.42893,11.24015,0.88697,0.33039,0.27691,0.42116,0.6507,0.78107,0.45283,0.25025,0.15218,0.11941,0.11935,0.09342,0.07784
"4",0.18507,0.41777,3.25634,8.8044,1.11723,0.54176,0.3904,0.56549,0.73158,0.71937,0.3511,0.155,0.09992,0.07695,0.04748,0.03242
"5",0.3025,0.24353,0.29773,2.09649,3.2966,1.72184,1.13608,1.00093,0.88161,1.06588,0.71649,0.40909,0.18526,0.07825,0.07658,0.06302
"6",0.68679,0.30608,0.16412,0.58374,1.90744,3.37954,2.02735,1.60945,1.37242,1.12641,1.07344,0.58286,0.28986,0.10896,0.04771,0.02959
"7",1.00056,1.06509,0.72616,0.37636,1.15525,2.2018,3.20152,2.26559,1.72419,1.36742,1.07846,0.82034,0.44049,0.19825,0.09475,0.08592
"8",0.76779,1.10529,0.90627,0.5561,0.71811,1.52022,1.87601,2.82299,2.17568,1.44495,1.03769,0.60794,0.42099,0.23609,0.1351,0.05446
"9",0.52605,0.87771,1.08351,0.86284,0.93112,1.38331,1.78835,2.00705,2.70921,1.81658,1.24138,0.51425,0.38043,0.19935,0.12826,0.06154
"10",0.40913,0.73459,0.90766,1.3343,1.17253,1.26397,1.47202,1.71755,1.84036,2.25982,1.36923,0.67895,0.35186,0.18398,0.15119,0.1317
"11",0.71302,0.70241,0.93495,1.15829,1.43102,1.795,1.52986,1.43492,1.89504,2.07073,1.98421,1.15836,0.52423,0.2169,0.15243,0.13135
"12",1.01307,0.99413,0.62702,0.81308,0.96859,1.55211,1.66292,1.25087,1.36272,1.18947,1.42532,1.44511,0.71844,0.30846,0.14963,0.10362
"13",1.09262,1.00326,0.6101,0.61259,0.66322,1.08024,1.2438,1.27797,1.09144,0.92528,0.87236,0.98971,0.95251,0.46488,0.28052,0.11476
"14",0.89565,1.25778,0.96933,0.52831,0.57211,0.80049,1.13192,1.04048,0.98002,0.57664,0.65066,0.6901,0.68787,0.80326,0.33618,0.15978
"15",0.36983,0.97333,0.74612,0.66224,0.21173,0.42361,0.39147,0.68616,0.70219,0.54715,0.42578,0.33216,0.58941,0.52535,0.60886,0.25284
"16",0.27364,0.35454,0.47809,0.38984,0.14737,0.14554,0.23019,0.32346,0.32579,0.32767,0.334,0.20005,0.15446,0.22241,0.19966,0.15807
