"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.89649,0.93806,0.38293,0.24513,0.35406,0.67005,0.96836,0.77156,0.40238,0.25352,0.29203,0.26366,0.19023,0.14678,0.10088,0.05177
"2",0.87834,7.55291,1.04882,0.27141,0.18454,0.36786,0.75774,0.85326,0.62274,0.25303,0.16774,0.17534,0.17392,0.12141,0.06418,0.04929
"3",0.23558,2.14314,10.87675,0.88019,0.30051,0.23067,0.36734,0.67123,0.84745,0.45631,0.22144,0.13116,0.10266,0.10266,0.08106,0.06881
"4",0.12007,0.30185,3.20742,9.79932,0.86715,0.35188,0.24346,0.4091,0.59834,0.63606,0.26859,0.10913,0.06659,0.05508,0.03664,0.02409
"5",0.18542,0.16521,0.20385,2.11792,2.95295,1.22265,0.80585,0.74924,0.68224,0.92606,0.62441,0.35146,0.1327,0.04836,0.05406,0.04452
"6",0.55582,0.20965,0.11374,0.39942,1.52605,3.14378,1.72321,1.41976,1.25517,1.04449,1.09227,0.59503,0.24495,0.0735,0.04029,0.02436
"7",0.74491,0.73822,0.44509,0.22275,0.81241,1.69537,2.76952,1.86481,1.46777,1.21165,0.97204,0.74687,0.33541,0.12861,0.06685,0.06291
"8",0.69329,1.03923,0.82847,0.40692,0.61085,1.40712,1.77131,3.11618,2.20771,1.50608,1.1638,0.69026,0.40309,0.20978,0.13197,0.05356
"9",0.4936,0.89356,1.308,0.96442,0.91844,1.4212,1.86668,2.23739,3.53129,2.13834,1.54401,0.67604,0.42648,0.20888,0.15639,0.07539
"10",0.26111,0.47098,0.68451,1.17051,1.07292,1.16086,1.4027,1.71082,1.91811,2.69972,1.52723,0.81191,0.33745,0.15259,0.13942,0.11736
"11",0.33047,0.37483,0.51346,0.7084,1.04115,1.51829,1.35879,1.41951,1.96254,2.17256,2.3015,1.2392,0.4393,0.14973,0.10756,0.09426
"12",0.54817,0.54939,0.37434,0.49953,0.75375,1.34321,1.521,1.29403,1.54946,1.34388,1.63593,1.82558,0.6632,0.24267,0.12778,0.08621
"13",0.68708,0.6298,0.39903,0.4171,0.52332,0.92376,1.08526,1.16507,1.06512,0.94742,0.91725,1.08551,1.26571,0.46556,0.29943,0.12482
"14",0.60918,0.86065,0.67281,0.38178,0.44424,0.62905,0.90539,0.84258,0.80111,0.53267,0.59486,0.68658,0.73807,1.18893,0.40041,0.18876
"15",0.37464,0.9795,0.79159,0.78863,0.28507,0.52979,0.51416,0.89532,0.93773,0.77033,0.58432,0.51057,0.97797,0.94403,1.28543,0.43666
"16",0.33505,0.42468,0.57755,0.45788,0.2052,0.22078,0.37682,0.46089,0.49027,0.50245,0.52815,0.34405,0.28999,0.41095,0.38755,0.37499
