"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.10951,1.14488,0.55381,0.34587,0.53808,0.8461,0.94702,0.8022,0.49696,0.33601,0.41722,0.37276,0.27637,0.20405,0.13551,0.07275
"2",1.05933,8.36911,1.31678,0.37246,0.21779,0.54881,0.81123,0.81769,0.65212,0.32229,0.23767,0.26634,0.25214,0.16941,0.08859,0.06844
"3",0.35313,2.51458,11.17431,0.89345,0.3606,0.32414,0.50218,0.7005,0.77156,0.47299,0.27966,0.17587,0.1396,0.13827,0.10803,0.08936
"4",0.24775,0.5334,3.02161,7.57423,1.71777,0.88328,0.68324,0.89546,1.0804,0.97198,0.52963,0.25981,0.1688,0.11835,0.06152,0.04414
"5",0.4119,0.30626,0.3777,2.36478,3.9964,2.20785,1.45466,1.29017,1.13979,1.25506,0.91513,0.5347,0.284,0.11436,0.09742,0.08193
"6",0.82192,0.3869,0.20694,0.88893,2.28901,3.54947,2.1922,1.73301,1.46921,1.24259,1.20309,0.67942,0.37605,0.14788,0.05472,0.03627
"7",0.8035,0.90454,0.65587,0.45652,1.17725,2.01962,2.77125,2.10774,1.65621,1.33285,1.06771,0.82019,0.45226,0.19459,0.07709,0.06959
"8",0.81596,1.15351,0.96237,0.84032,0.84906,1.5717,1.93963,2.77991,2.25795,1.52339,1.16993,0.69797,0.47874,0.26517,0.13797,0.05491
"9",0.54745,0.88787,1.01744,0.97447,1.05291,1.39001,1.80669,2.01309,2.57025,1.85276,1.36876,0.58812,0.43913,0.21652,0.1197,0.05645
"10",0.49514,0.8943,1.04359,1.57718,1.28777,1.35549,1.55605,1.82759,1.94471,2.24725,1.52677,0.7972,0.4213,0.21847,0.15642,0.14128
"11",0.84522,0.82072,1.07718,1.39857,1.56888,1.92995,1.6968,1.59359,2.11682,2.29055,2.14704,1.34823,0.61561,0.23769,0.15299,0.13459
"12",1.04028,1.05832,0.66022,0.95078,1.0071,1.56861,1.74847,1.35198,1.50928,1.31377,1.56497,1.43995,0.76789,0.29773,0.12887,0.0923
"13",1.40457,1.32492,0.812,0.82926,0.88004,1.33882,1.53525,1.60268,1.40148,1.21732,1.17848,1.30314,1.0007,0.54293,0.30163,0.12306
"14",0.54138,0.78457,0.61106,0.37506,0.40803,0.63542,0.79837,0.65624,0.71099,0.46312,0.55037,0.49825,0.46234,0.37801,0.16993,0.0815
"15",0.42045,1.13859,0.87175,0.74159,0.22355,0.45249,0.39696,0.71108,0.7309,0.56378,0.44341,0.3343,0.56629,0.48662,0.52478,0.23036
"16",0.40637,0.52954,0.72049,0.58494,0.21045,0.19684,0.29973,0.43183,0.42759,0.44508,0.45193,0.26462,0.19477,0.28329,0.2449,0.18088
