"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.77001,1.26851,0.70634,0.45252,0.70358,0.99881,1.09765,0.93656,0.63398,0.43138,0.51726,0.47058,0.34449,0.26718,0.17792,0.09006
"2",1.11031,6.12355,1.5244,0.50566,0.30745,0.72515,0.95658,0.96452,0.82852,0.41595,0.31553,0.34345,0.33078,0.22558,0.11851,0.08695
"3",0.50268,2.42074,9.13908,1.1094,0.49703,0.43684,0.64655,0.85799,0.95319,0.59933,0.37595,0.23833,0.18749,0.1883,0.14444,0.11811
"4",0.32098,0.6731,3.18543,8.14898,1.60886,0.80399,0.57133,0.82778,0.95172,0.86309,0.46671,0.22782,0.16196,0.12487,0.07584,0.05063
"5",0.56296,0.4224,0.50315,2.81668,4.1833,2.14305,1.34442,1.09234,0.99313,1.14524,0.78777,0.499,0.24148,0.12297,0.12381,0.10055
"6",0.9847,0.49143,0.25411,0.77742,2.11163,3.03391,1.95805,1.47392,1.19581,1.0583,1.00504,0.57292,0.30388,0.13713,0.06311,0.03727
"7",0.84271,0.99497,0.74482,0.35589,0.9349,1.66607,2.15135,1.72891,1.30296,1.03728,0.8643,0.66062,0.36765,0.17397,0.08042,0.07024
"8",0.74925,1.07724,0.93075,0.59889,0.6125,1.18098,1.50959,2.04857,1.72144,1.15072,0.86087,0.52728,0.3926,0.22763,0.12628,0.0498
"9",0.56018,0.90962,1.02739,0.83073,0.79632,1.03794,1.40087,1.59824,1.92314,1.41685,1.01052,0.42772,0.34912,0.19429,0.11793,0.05511
"10",0.33476,0.60222,0.69671,0.9411,0.78728,0.86615,1.02089,1.21477,1.27564,1.36868,0.98573,0.50543,0.26538,0.13587,0.10035,0.08652
"11",0.48662,0.5008,0.66662,0.77237,0.85414,1.10995,1.03423,0.9992,1.31688,1.41449,1.19394,0.78912,0.35488,0.13451,0.08715,0.07141
"12",0.75242,0.77918,0.50164,0.63437,0.67044,1.04468,1.15471,0.90287,0.98758,0.87458,1.03173,0.85281,0.50658,0.20663,0.09186,0.06176
"13",0.86569,0.82308,0.51246,0.51067,0.51887,0.80188,0.92409,0.99526,0.85951,0.74864,0.70853,0.76937,0.53209,0.3249,0.18342,0.07349
"14",0.61378,0.88771,0.71227,0.38145,0.40212,0.55653,0.76447,0.69507,0.69368,0.40528,0.47208,0.46478,0.44231,0.3548,0.1936,0.09073
"15",0.32861,0.88418,0.67488,0.57363,0.16924,0.33899,0.31333,0.55686,0.57402,0.44007,0.34253,0.25062,0.43508,0.37031,0.35314,0.17865
"16",0.31117,0.4085,0.56961,0.45346,0.15951,0.14753,0.2326,0.34161,0.34876,0.3526,0.35488,0.19701,0.15034,0.22035,0.19359,0.12633
