"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.34341,1.82298,1.07089,0.67137,1.01247,1.45837,1.61107,1.40259,0.96172,0.66194,0.79825,0.72851,0.53647,0.42174,0.28183,0.14203
"2",1.40328,4.41283,1.8202,0.68095,0.40708,0.93617,1.18639,1.23264,1.06691,0.54826,0.42998,0.47006,0.4565,0.3121,0.16251,0.12017
"3",0.6626,2.09592,5.64749,1.14189,0.56626,0.51089,0.69157,0.90058,1.01031,0.65111,0.4245,0.27241,0.21694,0.21651,0.16504,0.13524
"4",0.36807,0.70869,2.15143,5.27447,1.41073,0.72485,0.49274,0.70655,0.78307,0.72188,0.40198,0.19905,0.15012,0.11771,0.07264,0.04807
"5",0.66451,0.50048,0.55453,2.54137,3.94883,2.13373,1.34152,1.06637,0.94333,1.06689,0.746,0.48083,0.22295,0.12403,0.12509,0.10152
"6",1.37981,0.66959,0.35125,0.90172,2.39393,3.44356,2.28665,1.72306,1.3835,1.20119,1.12832,0.64265,0.3198,0.16149,0.07389,0.04368
"7",1.41714,1.52058,1.05503,0.47126,1.20545,2.19532,2.72882,2.22245,1.67248,1.30725,1.10976,0.846,0.4461,0.23512,0.11032,0.09805
"8",1.23002,1.59377,1.22058,0.66803,0.68352,1.41366,1.79807,2.36404,2.0146,1.34824,1.02301,0.62551,0.44708,0.27129,0.14846,0.05923
"9",0.68745,1.01518,0.98139,0.68821,0.70433,1.07938,1.46302,1.61986,1.88872,1.4351,1.05672,0.44455,0.31758,0.17489,0.09764,0.04563
"10",0.34212,0.58734,0.59225,0.6672,0.58871,0.80252,1.00004,1.17534,1.19314,1.2105,0.8908,0.48225,0.21142,0.10948,0.06496,0.05551
"11",0.45227,0.45101,0.54864,0.54797,0.6141,0.94039,0.97965,0.98182,1.28641,1.31391,1.07435,0.69388,0.26717,0.09758,0.05523,0.04417
"12",0.5647,0.58847,0.34791,0.39066,0.42317,0.74613,0.91279,0.78175,0.90768,0.77807,0.83884,0.6262,0.3128,0.12093,0.04482,0.03192
"13",0.59656,0.57543,0.3405,0.32253,0.30516,0.51752,0.59391,0.67011,0.62167,0.56726,0.52353,0.50382,0.25694,0.15857,0.08106,0.03197
"14",0.40215,0.58805,0.44559,0.23043,0.23306,0.37497,0.46322,0.36727,0.41376,0.28065,0.34646,0.28665,0.22311,0.14203,0.08042,0.03773
"15",0.16444,0.4435,0.32115,0.26205,0.06584,0.12687,0.1091,0.18953,0.18988,0.15636,0.14797,0.10436,0.15438,0.11873,0.10316,0.06189
"16",0.14131,0.18808,0.23494,0.18892,0.05966,0.05276,0.07472,0.11461,0.10484,0.10873,0.12439,0.07008,0.04606,0.06802,0.05326,0.03025
