"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.58692,0.67543,0.29119,0.39952,0.4898,0.49139,0.88848,0.69643,0.40805,0.26899,0.27373,0.16682,0.09912,0.08198,0.16174,0.07499
"2",0.3878,2.60532,0.53872,0.34486,0.13011,0.26094,0.49559,0.51601,0.53619,0.21835,0.13304,0.09839,0.14195,0.11875,0.04758,0.03452
"3",0.04046,0.48136,3.43358,0.60674,0.11523,0.07781,0.18568,0.48179,0.8036,0.28286,0.19055,0.06523,0.0572,0.07993,0.05594,0.0195
"4",0.03504,0.17043,1.8558,4.49036,0.99532,0.24265,0.12765,0.51227,0.63017,0.48162,0.30307,0.1519,0.05617,0.04747,0.03426,0.02052
"5",0.06756,0.03214,0.12043,1.73817,2.94829,0.80649,0.469,0.52504,0.51458,0.68965,0.38809,0.26094,0.09775,0.03207,0.03861,0.03592
"6",0.2502,0.10349,0.0811,0.2141,1.0978,1.57778,0.98137,0.69501,0.48817,0.83127,0.56193,0.43487,0.28303,0.0683,0.01908,0.01813
"7",0.43655,0.29889,0.07471,0.06042,0.47489,1.17546,1.98192,1.42879,1.40679,0.51147,0.75118,0.28062,0.43032,0.10509,0.03827,0.00264
"8",0.18752,0.33013,0.48639,0.5335,0.30725,0.38469,0.67751,1.87691,1.26417,0.65234,0.52651,0.40048,0.18737,0.14463,0.06542,0.01584
"9",0.08651,0.28667,0.70871,0.90149,0.66884,0.41864,0.40891,0.9872,1.51498,1.19194,0.5538,0.20272,0.27313,0.11233,0.07,0.04435
"10",0.04841,0.04318,0.23614,0.85097,0.51248,0.57106,0.67358,0.99598,1.14349,1.41409,0.71547,0.39214,0.22235,0.10038,0.1053,0.01978
"11",0.07396,0.14378,0.1606,0.45543,0.65931,0.75179,0.56724,0.65041,1.1014,1.45721,1.58101,0.99769,0.32978,0.10298,0.03091,0.04566
"12",0,0.03045,0.03008,0.13522,0.2857,0.52143,0.66124,0.52951,0.87158,0.84727,0.87167,1.15757,0.5987,0.18818,0.08693,0.03584
"13",0.06326,0.06471,0,0.14357,0.24871,0.4721,0.46137,0.63369,0.56646,0.41869,0.49732,0.78388,0.96548,0.30441,0.05806,0.02436
"14",0.0103,0.0541,0.05014,0.04697,0.07792,0.1269,0.22871,0.21742,0.42958,0.20149,0.3095,0.27595,0.49455,0.91012,0.26436,0.02573
"15",0,0.0419,0.01537,0.16099,0.07052,0.16129,0.27758,0.55713,0.22122,0.37313,0.18936,0.25843,0.57281,0.7143,1.1005,0.20547
"16",0.10826,0.1234,0.02135,0.01429,0.02975,0.10354,0.32523,0.15976,0.19914,0.13527,0.34667,0.1358,0.16172,0.18697,0.16038,0.2899
