"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.4789,1.746,0.97653,0.54606,0.78861,1.19369,1.40251,1.26711,0.88168,0.60076,0.71362,0.63717,0.48608,0.38217,0.26133,0.13194
"2",1.55187,8.31253,2.00919,0.67397,0.38144,0.81084,1.07859,1.1922,1.07091,0.56947,0.44609,0.47791,0.47187,0.31153,0.16412,0.1225
"3",0.65128,2.89797,9.18334,1.22305,0.58357,0.49132,0.6749,0.90984,1.05181,0.69331,0.46856,0.302,0.24303,0.23454,0.18084,0.14679
"4",0.34243,0.81661,3.22118,7.82872,1.6537,0.81945,0.59544,0.82596,0.93271,0.8449,0.50078,0.25514,0.19533,0.1411,0.08397,0.0559
"5",0.45601,0.3873,0.4761,2.3955,3.59357,1.93719,1.29423,1.10064,0.9526,1.0117,0.74634,0.4771,0.24293,0.12419,0.11539,0.09369
"6",0.8079,0.36873,0.19718,0.62702,1.84999,2.72904,1.89285,1.52475,1.27822,1.05528,0.99214,0.55209,0.29388,0.13716,0.05628,0.03177
"7",0.83836,0.85538,0.59158,0.31213,0.90869,1.68268,2.19334,1.85924,1.50178,1.19682,0.97217,0.71036,0.3616,0.18267,0.07479,0.06818
"8",0.85775,1.10586,0.83957,0.49685,0.62317,1.2762,1.62521,2.16295,1.98535,1.35656,1.07332,0.61467,0.39338,0.21986,0.11467,0.04754
"9",0.56053,0.91177,0.93875,0.65132,0.73885,1.10325,1.5448,1.75236,2.07965,1.63506,1.26539,0.53061,0.37652,0.18317,0.09784,0.04405
"10",0.28614,0.61668,0.64798,0.75041,0.62667,0.85295,1.13437,1.36953,1.45129,1.456,1.1351,0.61962,0.28496,0.1414,0.08117,0.06512
"11",0.33854,0.48051,0.63739,0.66912,0.68875,1.04833,1.12661,1.20087,1.63814,1.70055,1.43229,0.92852,0.39837,0.13595,0.07445,0.05919
"12",0.4564,0.68316,0.46541,0.53576,0.53154,0.83497,1.06217,0.98745,1.19626,1.03242,1.18085,0.8787,0.4958,0.18118,0.07143,0.04886
"13",0.5481,0.64558,0.42663,0.42059,0.39149,0.60887,0.69256,0.85874,0.88306,0.81101,0.8163,0.76771,0.3708,0.22188,0.11459,0.04812
"14",0.28406,0.50868,0.46196,0.22928,0.26699,0.41094,0.4666,0.32891,0.4943,0.34784,0.4689,0.37131,0.2935,0.15756,0.0946,0.04376
"15",0.14918,0.47616,0.42425,0.28213,0.07619,0.13967,0.12299,0.18777,0.2217,0.17855,0.203,0.13799,0.19928,0.1622,0.13012,0.0767
"16",0.19812,0.29057,0.3915,0.28501,0.08193,0.06247,0.09463,0.16261,0.12365,0.11753,0.22908,0.10703,0.07157,0.0854,0.07141,0.04111
