"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.49831,2.2369,1.31754,0.78453,1.02403,1.48893,1.64296,1.49302,1.05718,0.77379,0.91984,0.85254,0.617,0.48223,0.31712,0.15934
"2",1.68538,5.67759,2.23297,0.83051,0.49011,1.04385,1.21148,1.29768,1.15589,0.65933,0.54571,0.60614,0.56998,0.37408,0.1899,0.13996
"3",0.96226,3.06699,8.86592,1.46352,0.71736,0.68289,0.83404,1.02017,1.13502,0.79023,0.55225,0.36631,0.29432,0.28629,0.21135,0.1696
"4",0.56749,1.11452,3.25837,7.61512,1.94952,1.07935,0.7677,0.99533,1.01821,0.96117,0.56507,0.30688,0.23817,0.17075,0.10129,0.06517
"5",0.80375,0.73052,0.69881,2.84351,3.90924,2.17568,1.43207,1.12811,0.98119,1.05358,0.74842,0.5136,0.26339,0.13162,0.13168,0.10357
"6",1.25625,0.69542,0.38759,0.93589,1.94834,2.6904,1.89314,1.52835,1.25007,1.07976,0.98629,0.57513,0.31993,0.14503,0.05831,0.03588
"7",1.14371,1.27357,0.86917,0.4646,0.9813,1.64439,1.95996,1.72424,1.40807,1.14347,0.92668,0.68342,0.397,0.17215,0.07261,0.062
"8",1.1993,1.50819,1.03144,0.70196,0.60561,1.23365,1.46325,1.8718,1.7405,1.22137,0.97107,0.58266,0.39351,0.21147,0.10189,0.04176
"9",0.89981,1.31907,1.04009,0.70613,0.69575,1.07364,1.42723,1.531,1.71817,1.38198,1.091,0.46981,0.39702,0.19065,0.08442,0.03885
"10",0.54865,0.97118,0.80825,0.86155,0.59694,0.86123,1.06354,1.2529,1.19891,1.20067,0.93971,0.54732,0.28451,0.13614,0.0699,0.05989
"11",0.69824,0.73428,0.78485,0.71795,0.60966,0.97297,1.07019,1.06915,1.39197,1.38779,1.11572,0.76674,0.34056,0.11711,0.06811,0.05467
"12",1.15348,1.30597,0.67236,0.71524,0.55934,0.9475,1.10308,0.98492,1.08456,0.99453,1.01139,0.7042,0.41482,0.17364,0.06535,0.05404
"13",1.03522,1.14795,0.6209,0.55414,0.42621,0.68766,0.83878,0.93116,0.92427,0.82821,0.76322,0.6658,0.31613,0.19275,0.10512,0.04145
"14",0.68562,1.03984,0.75201,0.36001,0.28727,0.48078,0.59159,0.51446,0.60667,0.42286,0.50608,0.38502,0.27494,0.147,0.08478,0.0491
"15",0.31291,0.88168,0.63046,0.49226,0.11177,0.21236,0.17109,0.28059,0.29774,0.29242,0.31743,0.19595,0.22622,0.13441,0.10629,0.06297
"16",0.48729,0.68659,0.80065,0.62866,0.14618,0.14656,0.17392,0.35712,0.26685,0.34606,0.47673,0.2597,0.1084,0.16055,0.07247,0.03665
