"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.433504864329637,0.339383979556082,0.175561875274341,0.0753147045989115,0.107360689638593,0.220795030793152,0.400066477554439,0.389438134189115,0.143700406366608,0.0517759549965098,0.0386411845297294,0.0173734115117256,0.0124531967418021,0.00540161186131705,0.00186343358771028,0.00401153935519746
"5-9",0.219847086106175,0.719380646059113,0.335732032570651,0.108400509009727,0.025970351156672,0.134965178528489,0.377308558761778,0.474444404158374,0.338951787111653,0.0885916201986537,0.0350690290714998,0.0163674412329952,0.00659638099816117,0.00617133291130024,0.00221943376795571,0.00221603855663493
"10-14",0.119644325087729,0.358795117732181,1.18651912693071,0.297548284423592,0.0386531970934412,0.0241081288688985,0.140450322947935,0.365166294185043,0.427961968285669,0.163290898972492,0.057127124165917,0.0163998874994284,0.00744770956897353,0.00797524789558364,0.00550790528711026,0.00250606980760366
"15-19",0.0507600170768951,0.100477683733184,0.313411914914775,0.953533176147473,0.130129241566117,0.027610936111991,0.030796139101963,0.171273189033074,0.318610359119777,0.273857782775858,0.13137050559391,0.0389714158765607,0.00943626262517928,0.00982269321763403,0.00372235242802793,0.00158465011262258
"20-24",0.094255571483263,0.0409329452072963,0.0541601339640461,0.259713005309273,0.962895386239382,0.143681091577072,0.0385218593332543,0.017386885580379,0.099198212347694,0.247832128849306,0.143024961413632,0.0779966644678043,0.0129047327427904,0.00344323664298796,0.00258228975370585,0.00216133098122493
"25-29",0.330082359377182,0.137593065040122,0.0296926089047713,0.057659812064128,0.180901327374042,0.923616571543136,0.191363194792268,0.0222961207721808,0.00982915799196473,0.0570548724691315,0.131077097202246,0.0922828454113368,0.0337307909299811,0.00549649646247592,0.000654728197861893,0.00365783289077425
"30-34",0.486611387861152,0.530839720597422,0.244055064793458,0.0450407538766772,0.0534267780909025,0.191630057704298,1.00508962315616,0.200238842465082,0.080125864783891,0.0144837101835829,0.0293640236149474,0.0469997079517247,0.0454640170021385,0.00603969158224666,0.00294657663614312,0.00276283373038902
"35-39",0.505471932057395,0.833571636272235,0.678650340389122,0.256371514055982,0.0263906925501216,0.0275014738979546,0.171185227983069,1.21271330091868,0.211116689340759,0.0405125076499765,0.024292338137891,0.0154009854449324,0.0292580701567154,0.0160697932893901,0.00604574333485316,0.00203232899560507
"40-44",0.173176020979471,0.451826894312453,0.63067773811813,0.433201334958505,0.0869500625638105,0.0174166764286426,0.0790212119223158,0.182862119573761,0.836459000050719,0.119769636382309,0.0332660620175119,0.00469898110186782,0.0201313116857231,0.0224835819419818,0.00946391575591034,0.00398956126901406
"45-49",0.0867927859362429,0.180276493904032,0.333521092925144,0.493631976842764,0.261557442679389,0.0573482509944135,0.0192583994613123,0.067869808655146,0.134540051567348,0.717378426551993,0.114219037865573,0.0250671659522736,0.00936118441849674,0.00659569181766987,0.00585943968347532,0.0110214113460313
"50-54",0.115153783425291,0.105554981735302,0.21802983093927,0.299557008640411,0.256061629573527,0.153701518004675,0.0583347796310883,0.036825766754141,0.0716245373593975,0.139314652011944,0.66551977730201,0.126443046155938,0.0236766852388267,0.00478226255019876,0.0048861953337503,0.01455953947121
"55-59",0.197822332790376,0.19868386947539,0.163632152079915,0.271183005368565,0.262609792422271,0.310188078020842,0.209989219198844,0.061059411422362,0.0301770049204007,0.118253965015721,0.232914738971137,0.919346015400643,0.159487529841866,0.0326763628518988,0.00433386711886439,0.0125398693293959
"60-64",0.274054853219237,0.242588714974803,0.186405657243799,0.165443303413728,0.130809739270039,0.193361584101982,0.27963400666046,0.183875109587198,0.113867735719956,0.0494539365287025,0.113590707657654,0.259148632451833,1.04255093082754,0.130448295031052,0.0255570915246911,0.00525017807757064
"65-69",0.206977145298733,0.321712744525749,0.307346518388821,0.204498980655561,0.122595580675759,0.107394542456385,0.1827116102784,0.266245966501333,0.325663410345927,0.0792382479996951,0.0659968975258779,0.110006686952055,0.200473016709016,1.04091346424138,0.131453345539432,0.0117654353200148
"70-74",0.100028638044683,0.311450672698884,0.312934415161756,0.273618357203979,0.0492907137790367,0.0828811631444487,0.0758911604758046,0.186115310564603,0.383492767367193,0.192611428441595,0.100367731962514,0.0461787116927047,0.156352456220303,0.243610079984522,0.772631271472766,0.146903308578103
"75+",0.245904102175928,0.271584853607165,0.446609660209972,0.334854555671049,0.0971007599796855,0.093039138651715,0.12031311941325,0.201649807934286,0.279725780847029,0.381257210542554,0.396658850846359,0.124897675700032,0.057931879386666,0.0976440172951962,0.193407575245973,0.643757181431668
