"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0.472523633352272,0.931061570888649,0.614050566073494,0.30768914088224,0.489846716925791,0.666364013274707,0.607505457507568,0.511781443413494,0.279030197331774,0.150631096965059,0.155829434473587,0.151428803790965,0.0952181791499273,0.0471407917877516,0.014898879451932,0.0120700735349432
"5-9",0.488647280278031,0.630354448203631,0.697441120278522,0.303003197971042,0.126726658244152,0.380780456898803,0.52155309922516,0.477961576632803,0.346052871753539,0.174009458205011,0.106384732166444,0.114574903390888,0.0797494857173083,0.0402637146321143,0.0176658794522355,0.00991784206792526
"10-14",0.413696589148708,0.902503417886115,1.10216486485778,0.5831863073307,0.175686862424091,0.159554569295259,0.292379482631465,0.465679878857563,0.417487675933268,0.244159822789032,0.122736167688482,0.0637144182329078,0.0478730886151302,0.0459024564916662,0.0278374617860411,0.0111271112217554
"15-19",0.232234371396627,0.39785593762222,0.683370496098141,0.755698991245178,0.33346149514932,0.163045686323619,0.0941056104120563,0.277383405537501,0.325005624706655,0.307186023240432,0.197223398423597,0.0811034869811404,0.0500832076697525,0.0294204844424011,0.014352450626339,0.00765242203537721
"20-24",0.438760996666642,0.279544092924913,0.28204146635325,0.611829127062965,0.625649089963834,0.466844211465453,0.142131998005842,0.0782962373062484,0.170364474155077,0.288559921989772,0.207356547236387,0.128651444875232,0.0439647338455789,0.0163518648285749,0.0105224575201825,0.00712504583088613
"25-29",0.674287826614876,0.328556655864883,0.14736274014065,0.216568009708521,0.400963635001167,0.458551352085026,0.244592694415132,0.0800926157052172,0.0440184989403145,0.10394760745152,0.175670828023742,0.111177875988546,0.0613775587677752,0.0231424580467451,0.0042357280051463,0.00578303653266297
"30-34",0.604160938458199,0.787885841872967,0.477212169169029,0.113543572692743,0.162292234179875,0.316564325064137,0.285667515351737,0.212103689057459,0.0983405519735968,0.0508779716725834,0.0716271985539193,0.0880872786345888,0.0758724233276953,0.0218147970114118,0.0110577606134243,0.0045973658210056
"35-39",0.496590228353735,0.766662785904255,0.66530944834549,0.2913686715328,0.0740857006191547,0.0905144967523399,0.163264791866788,0.259020560954933,0.134924154580749,0.0540780669587244,0.0429344787343049,0.0405005280409655,0.0626065769372965,0.0374381751783621,0.0158589294206796,0.00480561281229176
"40-44",0.476363250375458,0.818161042903686,0.85219694053581,0.556875499255407,0.200916818379113,0.105680739810064,0.156541228808886,0.218705869244057,0.22920721288089,0.146060039586372,0.0651313655464205,0.0244074698129628,0.0630629633566912,0.0551126932252173,0.0205318643518577,0.0120732490733599
"45-49",0.295196105259617,0.564948170828889,0.668554528119827,0.644814806071857,0.377723841305593,0.172997670699823,0.0848038131657846,0.149515709533296,0.151418288611349,0.217330652005031,0.147949381335277,0.054378922892355,0.0368037058286864,0.0255050124372466,0.0201527748775718,0.0214037527260779
"50-54",0.372413779539285,0.343500531909014,0.471534448446742,0.403409476745664,0.361712153754109,0.275249402766215,0.146500454510558,0.0810280338113782,0.0935952672116875,0.135727336437923,0.164086783775352,0.12451545314241,0.0411870826985887,0.0180193101675993,0.0174697235226376,0.0183615898491016
"55-59",0.732108441411502,0.773924606521797,0.452965499363677,0.415773576942117,0.34720246926755,0.446902521636364,0.370536256655784,0.160838753390004,0.0900128514210504,0.177566257501039,0.212643724548554,0.162106501208016,0.120181014933916,0.0617054966450032,0.0145925713216194,0.0211808447531106
"60-64",0.480298633591133,0.471254045608341,0.299783863182039,0.228466877464994,0.159188549932306,0.211751156131555,0.24884876137446,0.220835824418426,0.106919172480411,0.0605122850178311,0.0928991949227058,0.11263918999169,0.0950559949526684,0.0674910040603882,0.016165709600336,0.00340113255531594
"65-69",0.355684086739727,0.52454381096321,0.441474270845687,0.187871316214917,0.14988721159247,0.166934792800452,0.27026563101756,0.322560282141068,0.239930032092694,0.0875461470931686,0.0955249155408364,0.0965903818784823,0.0957008729985013,0.0936877659485111,0.0418330211215211,0.00906451923680545
"70-74",0.140714180837453,0.441739769249891,0.358976179670788,0.242452739458159,0.0529259918647497,0.128358758340622,0.101933254624012,0.227391113535176,0.206198644350834,0.179098134012873,0.124423733449625,0.0577547321202053,0.0716921232891013,0.0625352145115139,0.0593067177630115,0.0398787815834851
"75+",0.171643721093465,0.237289291650112,0.351853779299645,0.252094344525083,0.0682537524501603,0.0578472348266125,0.0763147318922044,0.189727029305017,0.198469027498651,0.185868597332523,0.17370293345576,0.0791466189157551,0.0308086544475962,0.0555810993578866,0.0416096878915743,0.0282193221576423
