"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.59545,0.98373,0.53233,0.3389,0.55498,0.91444,1.02419,0.85304,0.51053,0.34179,0.43024,0.37736,0.28144,0.20294,0.13581,0.07579
"2",0.94568,6.66943,1.37214,0.42192,0.25694,0.6477,1.02522,1.01312,0.76975,0.3712,0.27571,0.30931,0.28764,0.19275,0.10178,0.08133
"3",0.37584,2.29802,10.78874,1.03882,0.40859,0.36284,0.58853,0.85111,0.91788,0.54155,0.31601,0.19545,0.15341,0.15209,0.12138,0.10124
"4",0.17043,0.38497,2.99497,8.39353,0.9596,0.46737,0.33339,0.52399,0.67144,0.61333,0.31187,0.14002,0.09624,0.07414,0.04457,0.03369
"5",0.25427,0.19665,0.24134,1.75933,2.51819,1.25525,0.78511,0.66439,0.62427,0.74971,0.5324,0.28874,0.14786,0.06638,0.06278,0.05459
"6",0.55999,0.26531,0.14251,0.45915,1.41965,2.86207,1.7124,1.37593,1.18196,0.99721,0.98733,0.50281,0.29521,0.1136,0.03985,0.0282
"7",0.88588,1.00295,0.73921,0.34758,0.93138,2.02581,2.98292,2.09038,1.59163,1.26859,1.07911,0.78937,0.46374,0.21035,0.09135,0.08386
"8",1.2557,1.79679,1.54676,0.83709,0.797,1.82489,2.39176,3.70011,2.61977,1.71654,1.30954,0.8118,0.68637,0.41586,0.23752,0.09446
"9",0.93883,1.51856,1.8539,1.45226,1.15142,1.63501,2.23598,2.55217,3.54741,2.22406,1.59359,0.64434,0.60811,0.36447,0.23656,0.11192
"10",0.5202,0.93591,1.13575,1.57492,1.26421,1.38284,1.53793,1.8254,1.97553,2.54658,1.6083,0.73903,0.44442,0.24809,0.19542,0.18334
"11",0.70401,0.71941,0.95812,1.12037,1.28914,1.78302,1.53568,1.43501,1.91435,2.09627,2.14545,1.15489,0.56227,0.22427,0.14612,0.13706
"12",0.75855,0.79496,0.51347,0.63102,0.66452,1.23396,1.37751,1.05039,1.16736,1.00843,1.24368,1.19509,0.61457,0.24323,0.10998,0.08088
"13",0.72335,0.67571,0.41193,0.43812,0.44858,0.88521,1.02515,1.0963,0.99569,0.8911,0.8454,0.84126,0.70246,0.33807,0.18053,0.07517
"14",0.28985,0.42199,0.32276,0.17973,0.21494,0.44539,0.53861,0.42191,0.48877,0.33657,0.40573,0.32602,0.31748,0.27414,0.10743,0.05209
"15",0.091,0.24319,0.18855,0.1627,0.05314,0.10864,0.09761,0.17863,0.18457,0.14457,0.11209,0.08661,0.1419,0.12473,0.14955,0.06158
"16",0.05923,0.08007,0.10374,0.08792,0.0333,0.03569,0.05165,0.07332,0.06936,0.07304,0.07288,0.04275,0.03236,0.0468,0.04118,0.03412
