"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.01409,1.5778,0.89508,0.56725,0.86856,1.24408,1.35733,1.15179,0.77914,0.5305,0.64983,0.59571,0.43583,0.33697,0.22142,0.11193
"2",1.34989,7.93071,1.82202,0.64017,0.37676,0.8826,1.15107,1.15744,0.98594,0.4983,0.39121,0.42712,0.41026,0.27916,0.14517,0.10587
"3",0.6608,2.80657,8.88049,1.28479,0.59791,0.53447,0.75897,0.99202,1.10052,0.69447,0.44674,0.28414,0.22511,0.22583,0.17155,0.13888
"4",0.40363,0.81083,3.06105,7.54186,1.89489,0.9946,0.71855,0.9738,1.10419,0.99277,0.56699,0.28403,0.19652,0.14384,0.0841,0.05567
"5",0.62763,0.48256,0.5475,2.75476,4.38332,2.52936,1.63743,1.39083,1.21434,1.31222,0.95663,0.60089,0.30356,0.13065,0.12323,0.09953
"6",1.17454,0.58132,0.31129,0.98733,2.59961,3.80008,2.4956,1.9472,1.62841,1.36956,1.31545,0.75776,0.40871,0.15908,0.06629,0.03993
"7",1.08303,1.22585,0.87844,0.48812,1.29602,2.27655,2.83147,2.30442,1.8025,1.44163,1.16874,0.89684,0.48734,0.20587,0.09197,0.07941
"8",1.00341,1.37745,1.11022,0.81116,0.86228,1.66085,2.01077,2.66543,2.3177,1.56982,1.21449,0.72405,0.48846,0.26284,0.14096,0.05547
"9",0.71496,1.0972,1.13667,0.96458,1.04772,1.46481,1.87948,2.06149,2.46873,1.88187,1.40294,0.60403,0.44004,0.21395,0.11876,0.05653
"10",0.42688,0.74643,0.7915,1.10331,0.97084,1.18475,1.39797,1.61422,1.67122,1.73313,1.27403,0.70168,0.33028,0.14613,0.09699,0.08383
"11",0.61946,0.62142,0.76494,0.92043,1.0221,1.45105,1.41622,1.36574,1.81224,1.87258,1.57876,1.03579,0.42229,0.13244,0.08016,0.0653
"12",0.89324,0.92367,0.54937,0.74562,0.7987,1.29301,1.48792,1.19819,1.3707,1.17549,1.32146,1.04927,0.56083,0.19193,0.07714,0.05395
"13",0.99192,0.90355,0.52967,0.55109,0.60377,0.96454,1.09225,1.16939,1.05979,0.95761,0.88715,0.90078,0.49595,0.26913,0.14131,0.05623
"14",0.63253,0.86348,0.64583,0.36609,0.38035,0.55147,0.71302,0.59469,0.61807,0.37043,0.44678,0.39575,0.3444,0.23381,0.12798,0.06009
"15",0.28961,0.73284,0.5117,0.43451,0.12053,0.24844,0.21698,0.37485,0.36191,0.27353,0.23245,0.15868,0.2554,0.2052,0.18932,0.09997
"16",0.21599,0.27221,0.35502,0.29307,0.09855,0.08952,0.13432,0.20521,0.19627,0.17976,0.19033,0.10168,0.07133,0.10298,0.08501,0.05342
