"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.77199,1.40357,0.95455,0.66512,0.97779,1.24356,1.28693,1.06361,0.76843,0.56213,0.70053,0.64207,0.48085,0.36838,0.2501,0.12381
"2",1.11388,7.38788,1.77064,0.69691,0.41672,0.86146,1.0343,0.99007,0.84938,0.45139,0.3996,0.44313,0.44195,0.29092,0.15808,0.11139
"3",0.56063,2.62911,9.16692,1.21365,0.62396,0.53731,0.68952,0.83561,0.88835,0.59047,0.41388,0.27694,0.23078,0.22794,0.18276,0.1354
"4",0.34583,0.73676,2.81651,6.47838,1.78641,0.93465,0.64817,0.85848,0.92368,0.82754,0.47261,0.25228,0.20229,0.15047,0.0958,0.0601
"5",0.48585,0.4168,0.53409,2.55435,3.82432,2.21057,1.41036,1.14341,0.99111,1.08037,0.77835,0.50333,0.27445,0.13155,0.12755,0.10038
"6",0.75626,0.40679,0.26816,0.8419,2.2318,3.14051,2.13596,1.64479,1.35101,1.15889,1.10342,0.62679,0.37102,0.16017,0.06452,0.03722
"7",0.64027,0.79858,0.67371,0.4055,1.09482,1.95536,2.40274,1.97149,1.53753,1.22888,1.0272,0.77495,0.46043,0.21596,0.08856,0.07833
"8",0.58179,0.8937,0.85003,0.65312,0.71359,1.42603,1.77452,2.27875,2.0078,1.35674,1.0445,0.63041,0.46788,0.26801,0.14574,0.05559
"9",0.42842,0.65353,0.77792,0.77853,0.85113,1.17596,1.58258,1.74079,2.00892,1.56253,1.18383,0.49185,0.4017,0.19847,0.11754,0.05169
"10",0.29288,0.45962,0.55597,0.88935,0.86325,0.98209,1.12152,1.29794,1.35442,1.36104,1.07546,0.5596,0.29092,0.14043,0.08283,0.08019
"11",0.40525,0.43657,0.55834,0.67263,0.83924,1.20065,1.15321,1.09666,1.47693,1.55599,1.26665,0.83927,0.38272,0.12222,0.06365,0.0539
"12",0.57129,0.63935,0.43124,0.57257,0.66282,1.0943,1.22229,0.94699,1.07465,0.92492,1.082,0.79702,0.51123,0.18177,0.06673,0.04091
"13",0.60419,0.6426,0.42523,0.4767,0.51927,0.85914,0.99194,1.00421,0.94218,0.87246,0.81003,0.81585,0.47246,0.27764,0.14032,0.05483
"14",0.36866,0.58609,0.50918,0.30925,0.33531,0.5446,0.71195,0.48163,0.5307,0.37517,0.4489,0.4008,0.3884,0.21985,0.1372,0.05924
"15",0.21802,0.57242,0.51056,0.47029,0.13727,0.23536,0.17976,0.31863,0.33234,0.21249,0.15781,0.12953,0.26613,0.2286,0.20506,0.11233
"16",0.20361,0.31788,0.43351,0.43317,0.13809,0.10066,0.1521,0.19025,0.18745,0.24333,0.18503,0.07679,0.07593,0.11224,0.12074,0.06659
