"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.56691,1.91781,1.06292,0.66361,0.95659,1.37224,1.48957,1.34876,0.97215,0.69593,0.82508,0.74975,0.52743,0.4351,0.2897,0.14505
"2",1.60213,5.18068,1.8886,0.71279,0.4411,0.98592,1.17717,1.24818,1.09469,0.6064,0.48883,0.52915,0.48441,0.34331,0.17795,0.13063
"3",0.85338,2.51357,5.92359,1.2195,0.66359,0.62599,0.79156,0.99266,1.09232,0.74414,0.50423,0.3296,0.25118,0.2644,0.19585,0.16173
"4",0.53821,1.0032,2.54458,6.63513,1.97971,1.0935,0.80812,1.0421,1.10083,1.00934,0.56237,0.30846,0.21267,0.17121,0.09064,0.06059
"5",0.72086,0.55659,0.54362,2.50948,3.74677,2.17654,1.43304,1.21256,1.04076,1.09482,0.76775,0.52418,0.27375,0.1405,0.11852,0.09387
"6",1.11794,0.57689,0.28691,0.85584,1.98103,2.99791,2.05393,1.66186,1.40537,1.1692,1.06032,0.63514,0.35393,0.16963,0.05307,0.03268
"7",0.97252,1.13996,0.71096,0.44334,1.02143,1.89547,2.31479,2.00926,1.61508,1.30608,1.02795,0.77983,0.42152,0.2128,0.07167,0.06382
"8",1.00978,1.31984,0.87274,0.71288,0.70226,1.44643,1.7781,2.34404,2.13969,1.48233,1.14869,0.68795,0.42768,0.25691,0.11551,0.04621
"9",0.7748,1.05752,0.85607,0.7168,0.82113,1.28439,1.69608,1.89687,2.23784,1.76669,1.34266,0.60309,0.4309,0.21701,0.09503,0.04663
"10",0.51805,0.85208,0.69272,0.91089,0.72226,1.0264,1.27207,1.51966,1.55755,1.60538,1.20679,0.70836,0.32699,0.17362,0.08063,0.06387
"11",0.6351,0.63554,0.63013,0.6711,0.67064,1.15478,1.25431,1.28458,1.72827,1.79564,1.45859,1.01366,0.41381,0.14948,0.06324,0.05083
"12",1.01955,1.06276,0.51721,0.63688,0.62717,1.09338,1.28749,1.15866,1.38032,1.2157,1.32131,1.01767,0.55074,0.19784,0.06445,0.04385
"13",0.93851,0.93294,0.45872,0.43327,0.4732,0.82543,0.96437,1.10286,1.11108,1.03011,0.93576,0.95417,0.44089,0.26752,0.11454,0.04554
"14",0.67038,0.91491,0.63903,0.33467,0.35862,0.64783,0.75461,0.58722,0.71378,0.51047,0.66175,0.49951,0.40357,0.20669,0.10728,0.04757
"15",0.36211,0.93604,0.55558,0.3826,0.1167,0.22185,0.18039,0.33297,0.30318,0.30304,0.22739,0.17047,0.22897,0.18105,0.1292,0.0794
"16",0.39352,0.49428,0.58445,0.41098,0.11482,0.13157,0.16092,0.26399,0.28619,0.2207,0.27538,0.13447,0.0907,0.1204,0.08677,0.05477
