"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.96794,1.26776,0.6753,0.4308,0.69379,1.02322,1.13347,0.95778,0.62914,0.4206,0.50596,0.46327,0.33943,0.26067,0.17303,0.08841
"2",1.18245,8.48041,1.60264,0.49653,0.30262,0.73521,1.03334,1.02943,0.86556,0.4245,0.31467,0.34304,0.3314,0.22606,0.12076,0.08871
"3",0.46359,2.7562,11.1884,1.15502,0.48668,0.42272,0.65002,0.9052,1.00856,0.61542,0.37394,0.23279,0.18263,0.18333,0.1448,0.11717
"4",0.28668,0.62212,3.55242,9.11224,1.59567,0.79056,0.56334,0.82604,1.00254,0.90853,0.48526,0.2285,0.15679,0.12092,0.07379,0.05058
"5",0.46566,0.34427,0.4277,2.56744,3.85529,1.98288,1.23496,1.00337,0.93007,1.09825,0.76138,0.46832,0.21781,0.10955,0.10884,0.08923
"6",0.86451,0.41469,0.21828,0.72881,2.03564,3.06609,1.91809,1.42993,1.18022,1.03248,1.0043,0.56978,0.29431,0.13269,0.05965,0.03621
"7",0.80172,0.93381,0.69773,0.35717,0.95209,1.72386,2.29449,1.7523,1.32348,1.04748,0.87972,0.67736,0.3734,0.17958,0.08459,0.07361
"8",0.76466,1.09941,0.97927,0.6245,0.63573,1.24724,1.59569,2.21069,1.79004,1.17687,0.88245,0.54983,0.41789,0.25103,0.14271,0.05662
"9",0.55143,0.89658,1.08432,0.91164,0.8385,1.10121,1.47064,1.66346,2.0906,1.47238,1.04647,0.444,0.35754,0.21071,0.13278,0.0627
"10",0.34188,0.61186,0.73642,1.0672,0.87868,0.93043,1.07477,1.2559,1.35045,1.50249,1.04928,0.52673,0.27541,0.15033,0.11703,0.10319
"11",0.49394,0.53142,0.71694,0.86697,0.96138,1.22619,1.09194,1.02456,1.36596,1.47613,1.30696,0.83595,0.36908,0.14775,0.09855,0.0826
"12",0.74505,0.7688,0.50449,0.65874,0.71213,1.1259,1.21806,0.91635,1.00909,0.87919,1.06598,0.93433,0.52528,0.21792,0.1003,0.06844
"13",0.81497,0.75151,0.46443,0.48974,0.51366,0.81965,0.94085,0.97135,0.82505,0.70456,0.67675,0.757,0.56467,0.33584,0.19075,0.07764
"14",0.53325,0.74673,0.58924,0.32732,0.36959,0.54117,0.74379,0.66514,0.65644,0.38335,0.43841,0.43192,0.41919,0.37073,0.18839,0.08761
"15",0.26009,0.68391,0.53868,0.45617,0.14248,0.29848,0.28047,0.49641,0.50799,0.37954,0.28491,0.21373,0.36815,0.32708,0.33707,0.16267
"16",0.21057,0.27663,0.3861,0.31596,0.11596,0.11051,0.17738,0.26428,0.26346,0.2658,0.2527,0.14662,0.11363,0.16553,0.15113,0.10444
