"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.76984,1.36404,0.70335,0.49727,0.92334,1.1794,1.10749,0.83991,0.61497,0.45646,0.64282,0.59923,0.42182,0.31069,0.20115,0.09362
"2",1.22036,9.27466,1.66588,0.51462,0.32898,0.92827,1.12927,0.97648,0.78013,0.40024,0.36407,0.4199,0.40632,0.27519,0.14922,0.09573
"3",0.44114,2.58126,7.84495,1.09611,0.52548,0.48756,0.78697,0.97515,0.96082,0.60041,0.40674,0.27123,0.22383,0.2231,0.18327,0.13303
"4",0.30238,0.63445,2.84322,7.61151,2.22266,1.14571,0.87737,1.18452,1.29359,1.09558,0.65402,0.33421,0.24312,0.1783,0.09821,0.05958
"5",0.58032,0.37312,0.47758,3.00987,4.7234,2.63593,1.73659,1.4879,1.32563,1.38446,1.05315,0.66362,0.37294,0.16582,0.14253,0.11218
"6",0.93468,0.50645,0.23824,0.98799,2.47421,3.50512,2.3548,1.853,1.56282,1.31349,1.32143,0.76515,0.45885,0.19949,0.06698,0.03808
"7",0.64893,0.98827,0.84519,0.47872,1.15571,2.0163,2.55096,2.11083,1.64924,1.33548,1.1023,0.86749,0.53115,0.2356,0.09067,0.06993
"8",0.43412,0.84828,1.04733,0.94209,0.79231,1.48449,1.8406,2.4894,2.19535,1.48279,1.15767,0.69748,0.49917,0.28881,0.13854,0.05082
"9",0.32462,0.51781,0.83228,0.99759,1.0604,1.35397,1.73332,1.98645,2.38239,1.83729,1.39667,0.60313,0.48432,0.23996,0.12477,0.05504
"10",0.21418,0.3074,0.44891,1.00529,0.94084,1.09785,1.31656,1.5378,1.64559,1.69945,1.30282,0.7042,0.3576,0.17938,0.10563,0.08733
"11",0.44168,0.35812,0.44757,0.83587,1.04436,1.4457,1.3759,1.34032,1.82892,1.93136,1.69932,1.12004,0.48168,0.15926,0.08372,0.06452
"12",0.61812,0.51646,0.32229,0.59721,0.75661,1.25942,1.47211,1.19189,1.38557,1.15751,1.41811,1.14305,0.67367,0.2159,0.07871,0.04951
"13",0.64412,0.53012,0.33731,0.41691,0.64001,1.03452,1.23199,1.30671,1.22173,1.10239,1.01012,1.1097,0.65638,0.3679,0.15422,0.05969
"14",0.36436,0.51622,0.38467,0.29199,0.35553,0.7062,0.88759,0.70725,0.74549,0.50208,0.60215,0.51793,0.53978,0.31794,0.15606,0.06684
"15",0.18185,0.50694,0.44096,0.34622,0.10887,0.22737,0.24798,0.43865,0.43813,0.3328,0.22395,0.16088,0.30382,0.26482,0.27662,0.12665
"16",0.17054,0.288,0.45274,0.36055,0.13162,0.13149,0.22712,0.44093,0.40398,0.41287,0.33678,0.14401,0.10522,0.15198,0.18556,0.09645
