"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.65927,1.09186,0.1471,0.07509,0.11644,0.13922,1.14392,1.13291,0.37074,0.0887,0.3103,0.30467,0.31561,0.14182,0,0
"2",1.7104,15.58246,1.2269,0.19367,0.06203,0.32594,0.28089,1.17729,1.28411,0.24242,0.18578,0.15132,0.02461,0.10774,0.10474,0.06432
"3",0.18962,2.09461,15.33185,1.00035,0.13474,0.05691,0.14396,0.54734,1.1864,0.81159,0.32717,0.06614,0.02083,0.05522,0.12619,0
"4",0.15187,0.09334,5.40913,11.34355,0.94198,0.72093,2.65842,0.29418,0.50997,0.88659,0.78092,0.14075,0.02968,0.03743,0.08187,0
"5",0.26775,0,0.04502,0.78312,3.11651,1.32266,2.15531,2.70712,0.14846,0.42108,0.72737,0,0.01281,0,0.01992,0.0499
"6",0.32737,0.18421,0,0.19114,0.64708,3.24827,1.21893,1.52523,2.07214,0.83369,1.83459,0.64731,0.18045,0.019,0,0
"7",1.81881,1.02544,0.94106,2.83384,0.65011,1.68417,5.73738,3.48483,2.18089,4.13343,1.10975,0.41256,0.08416,0.028,0.07951,0.22386
"8",0.57145,0.7411,0.31209,0.13833,0.91484,0.65515,1.04864,3.35722,2.21887,4.77517,1.78276,0.36325,0.62115,0.16128,0.11366,0.02638
"9",0.41871,0.90417,0.52152,0.237,2.2152,1.39534,1.40781,4.47681,5.97477,2.93043,2.89889,0.42135,0.40457,0.13879,0.2105,0
"10",0,0.45511,0.74279,0.7679,0.564,1.15231,0.8625,1.7751,2.29091,2.32407,1.30969,0.79722,0.32379,0,0.03957,0.00136
"11",0,0.27087,0.12785,0.45976,2.19313,2.14306,0.63706,1.62164,0.20117,2.19816,1.38518,0.63989,0.15202,0.13809,0.00843,0.04838
"12",0,0,0,0.52834,1.35781,1.20176,0.92986,1.10621,2.04867,1.59463,1.20264,2.64155,1.23577,0.67268,0,0.03089
"13",0.23129,0.14993,0.1442,0.27766,0.52366,0.56827,0.69139,1.24155,0.94481,0.79238,1.65448,2.14446,1.40411,0.65454,0.71182,0.08814
"14",0.03333,0.03341,0,0.03319,0.27853,0.30209,0.21987,0.39862,0.38618,0.06716,0.32613,0.4891,1.02927,0.69884,0.37511,0.09026
"15",0,0,0,0.006,0.20817,0.09283,0.09416,0.27764,0.53548,0.38617,0.18752,0.56885,0.70726,0.63192,1.80676,0.19507
"16",0.03972,0.11021,0.25338,0.04123,0.25342,0.11308,0.32983,0.1807,0.40563,0.32641,0.18624,0.35082,0.03566,0.53082,0.42596,0.67839
