"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.25916,1.08174,0.40412,0.26315,0.36336,0.60033,0.95446,0.95388,0.49019,0.28481,0.32945,0.26601,0.20383,0.15678,0.10741,0.05547
"2",1.03653,9.32435,1.25718,0.29226,0.21077,0.38775,0.69154,0.96384,0.81639,0.35522,0.20694,0.19466,0.19183,0.13466,0.07086,0.0557
"3",0.2536,2.59103,12.76084,0.99535,0.3249,0.25392,0.3938,0.69265,0.98923,0.56885,0.27615,0.15272,0.11979,0.1122,0.08837,0.07658
"4",0.15438,0.3883,3.97178,12.18724,1.30853,0.5847,0.45797,0.63494,0.87738,0.92458,0.46696,0.1919,0.11835,0.07864,0.04611,0.03219
"5",0.27077,0.23638,0.28088,3.14479,4.59803,1.76666,1.17579,1.04829,0.94334,1.20148,0.85527,0.46631,0.22543,0.074,0.08267,0.06657
"6",0.56484,0.24213,0.13036,0.59778,1.89307,3.51527,1.92817,1.51579,1.26898,1.07501,1.08435,0.61563,0.31837,0.08852,0.04653,0.03029
"7",0.8232,0.72604,0.47481,0.33367,0.97526,1.78153,2.98216,1.97216,1.4949,1.21275,0.96634,0.74845,0.39851,0.13876,0.06944,0.06523
"8",0.76704,1.04824,0.72515,0.51581,0.69187,1.38097,1.75841,3.06359,2.07905,1.39108,1.06109,0.63294,0.41175,0.20144,0.12273,0.04972
"9",0.39456,0.76869,0.99655,0.79841,0.85708,1.23098,1.64234,1.89136,2.82424,1.74897,1.24887,0.54898,0.39332,0.16503,0.1173,0.05384
"10",0.25365,0.50766,0.67808,1.16917,0.91792,1.05122,1.31593,1.53255,1.66832,2.28211,1.30174,0.68726,0.34193,0.13559,0.11878,0.10208
"11",0.36401,0.46837,0.64861,0.92834,1.05891,1.43346,1.34845,1.34748,1.76902,1.9707,2.11681,1.1292,0.49943,0.16313,0.11693,0.09445
"12",0.52691,0.60488,0.43182,0.64351,0.75551,1.27364,1.47642,1.21555,1.39025,1.19727,1.45917,1.70245,0.744,0.25109,0.12821,0.08903
"13",0.64505,0.59573,0.39065,0.47561,0.5983,1.00121,1.15994,1.25883,1.16746,1.06382,0.99939,1.18789,1.29502,0.46282,0.28514,0.119
"14",0.4746,0.67366,0.51291,0.31331,0.36389,0.52666,0.74005,0.68605,0.70322,0.43966,0.5011,0.56932,0.62172,1.0036,0.316,0.15001
"15",0.30594,0.79973,0.63311,0.61054,0.24567,0.43724,0.43169,0.73146,0.82924,0.63389,0.51429,0.43666,0.82239,0.77274,1.14634,0.37278
"16",0.27769,0.35522,0.47346,0.38166,0.17338,0.18641,0.31398,0.3725,0.38613,0.4321,0.41439,0.28884,0.24309,0.3442,0.33232,0.34154
