"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.8296,1.23941,0.69619,0.43987,0.72752,1.16284,1.2823,1.07442,0.67086,0.44639,0.55891,0.49821,0.36787,0.27043,0.17889,0.09715
"2",0.92683,6.68676,1.40202,0.42739,0.25769,0.64387,0.96121,0.95107,0.75922,0.37094,0.28256,0.30955,0.28836,0.19376,0.10151,0.0792
"3",0.33804,2.28452,11.9286,0.92435,0.35512,0.31398,0.49019,0.69137,0.76478,0.45935,0.28255,0.1748,0.13323,0.13185,0.10358,0.08581
"4",0.14613,0.32903,2.94677,7.51465,0.75313,0.35879,0.24781,0.38944,0.48932,0.45117,0.23883,0.11133,0.07413,0.05706,0.03572,0.0262
"5",0.3471,0.26401,0.32433,1.98643,3.25048,1.75283,1.11742,0.93654,0.83432,0.95446,0.65389,0.38503,0.17154,0.07604,0.08328,0.0709
"6",1.50831,0.70307,0.38044,1.07283,3.31238,5.3919,3.10345,2.19616,1.7255,1.57063,1.54682,0.88052,0.42168,0.18988,0.10443,0.07049
"7",1.7833,1.96626,1.44741,0.6301,1.74676,3.23857,4.61282,3.14658,2.20464,1.6752,1.50812,1.23185,0.68521,0.33606,0.18276,0.16535
"8",1.22295,1.7242,1.46769,0.76244,0.87502,1.79456,2.31446,3.35369,2.42282,1.5405,1.09973,0.74821,0.60629,0.36705,0.223,0.08873
"9",0.6562,1.05739,1.24627,0.95757,0.95183,1.33428,1.76573,1.94652,2.49528,1.62107,1.09485,0.47819,0.38591,0.22469,0.15497,0.07381
"10",0.30863,0.55683,0.65188,0.87676,0.81854,0.98442,1.13129,1.27989,1.31973,1.50595,0.95481,0.48778,0.24025,0.11856,0.10427,0.09582
"11",0.3423,0.42744,0.5887,0.61167,0.69452,1.04702,0.98415,0.91614,1.17661,1.20338,1.05685,0.63856,0.25747,0.09124,0.06518,0.05879
"12",0.45529,0.54302,0.38743,0.42628,0.46535,0.85218,0.99079,0.77236,0.85361,0.69939,0.76849,0.71252,0.33366,0.12166,0.05846,0.04225
"13",0.42111,0.39826,0.23849,0.26898,0.29302,0.52979,0.60784,0.63755,0.55683,0.48063,0.42214,0.45485,0.32169,0.15913,0.09209,0.03805
"14",0.20882,0.301,0.22707,0.11825,0.13707,0.21542,0.2923,0.25764,0.25052,0.1469,0.16337,0.16423,0.15459,0.15519,0.06987,0.03298
"15",0.07555,0.20028,0.15266,0.13081,0.04208,0.08714,0.07965,0.14403,0.14557,0.11345,0.08931,0.06824,0.10809,0.09426,0.10507,0.04825
"16",0.08276,0.11038,0.14501,0.12104,0.04548,0.04657,0.06868,0.09978,0.09649,0.09809,0.09754,0.05659,0.04216,0.06115,0.05369,0.04121
