"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.78292,1.33638,0.76103,0.48453,0.7718,1.11511,1.24182,1.06233,0.71066,0.47728,0.57459,0.52465,0.38505,0.2976,0.19767,0.10032
"2",1.15181,7.08844,1.65146,0.54833,0.33185,0.78546,1.05732,1.07462,0.92487,0.45974,0.34554,0.37544,0.36281,0.24695,0.12986,0.09539
"3",0.53868,2.60423,9.60278,1.19151,0.53081,0.46682,0.68614,0.92553,1.04789,0.65282,0.40552,0.25529,0.20092,0.20071,0.15503,0.12636
"4",0.32695,0.68842,3.21972,8.27096,1.79815,0.90906,0.66454,0.9187,1.07278,0.97408,0.53461,0.26397,0.1823,0.13527,0.07812,0.05223
"5",0.5517,0.4151,0.49617,2.82204,4.38236,2.3426,1.50987,1.27305,1.1346,1.26848,0.89566,0.56441,0.28951,0.13213,0.12153,0.09865
"6",1.0051,0.4874,0.25723,0.87781,2.35637,3.4226,2.20173,1.69319,1.40875,1.2062,1.1456,0.66854,0.37051,0.15715,0.06385,0.03825
"7",0.97021,1.1007,0.80754,0.44531,1.17577,2.02611,2.64325,2.08891,1.60644,1.27904,1.0438,0.81758,0.46308,0.2123,0.09215,0.08053
"8",0.89782,1.26072,1.06842,0.76587,0.78452,1.46149,1.83786,2.51342,2.11409,1.41258,1.06044,0.65969,0.47789,0.27133,0.14536,0.05769
"9",0.57644,0.92335,1.0317,0.89681,0.93697,1.23605,1.62819,1.82451,2.24518,1.66129,1.19811,0.52526,0.40555,0.20658,0.11507,0.05436
"10",0.30697,0.55446,0.6287,0.94769,0.82503,0.96851,1.16539,1.35447,1.43028,1.51615,1.07088,0.59197,0.29213,0.13953,0.08625,0.0748
"11",0.46272,0.48899,0.64322,0.80584,0.89703,1.21734,1.1783,1.14843,1.53685,1.61154,1.35963,0.89694,0.38999,0.13346,0.07759,0.06387
"12",0.73406,0.76608,0.49025,0.67679,0.7278,1.14401,1.30533,1.0494,1.20107,1.03548,1.17297,0.98899,0.55525,0.2026,0.0824,0.05645
"13",0.86352,0.80675,0.4918,0.52278,0.58817,0.91949,1.05301,1.12798,1.02393,0.91702,0.84106,0.90496,0.57724,0.3218,0.16709,0.06729
"14",0.6058,0.85231,0.66561,0.38061,0.41825,0.62168,0.80764,0.67453,0.71375,0.44594,0.52272,0.48599,0.45317,0.34176,0.1755,0.08161
"15",0.30322,0.79663,0.5987,0.5103,0.14851,0.30185,0.2754,0.47931,0.48635,0.37377,0.2983,0.21725,0.36548,0.31204,0.30268,0.1532
"16",0.249,0.32345,0.43777,0.35406,0.12399,0.11526,0.17819,0.26714,0.26269,0.26179,0.26369,0.14946,0.11063,0.16191,0.14142,0.09323
