"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.28929,1.35588,0.77128,0.49619,0.73492,1.01373,1.12211,0.96827,0.67498,0.44274,0.50355,0.45595,0.32985,0.25717,0.17282,0.08585
"2",1.23764,8.85613,1.54238,0.49734,0.28846,0.71991,0.94912,0.93382,0.81885,0.41553,0.29464,0.30977,0.29571,0.20358,0.10828,0.07813
"3",0.48824,2.8298,11.49813,1.11339,0.45684,0.41489,0.67626,0.87352,0.91039,0.58298,0.36871,0.22997,0.17253,0.174,0.13183,0.10814
"4",0.25833,0.5369,3.63086,10.04813,1.56067,0.80745,0.61714,0.85919,0.98708,0.86114,0.48441,0.25337,0.16324,0.1195,0.06265,0.04182
"5",0.42031,0.29661,0.36702,2.51671,3.54585,2.03994,1.34449,1.17113,1.06376,1.12269,0.80969,0.5174,0.28325,0.12206,0.10095,0.08118
"6",0.7409,0.37493,0.19966,0.82271,2.17389,3.15429,2.12453,1.66751,1.40737,1.21481,1.16425,0.68354,0.39066,0.16667,0.05948,0.03376
"7",0.67396,0.7791,0.67862,0.4205,1.09689,1.9508,2.54566,2.08563,1.62368,1.32852,1.0961,0.84898,0.48962,0.22995,0.0911,0.07746
"8",0.61148,0.84807,0.80936,0.71277,0.76431,1.48642,1.89039,2.54699,2.21607,1.51058,1.16491,0.71422,0.5165,0.2984,0.1538,0.06012
"9",0.41544,0.6619,0.81803,0.87769,0.97406,1.31452,1.74919,1.99247,2.43265,1.86449,1.37704,0.61153,0.47417,0.24986,0.14053,0.06523
"10",0.20526,0.36878,0.47364,0.95043,0.84154,1.06947,1.31676,1.52361,1.65776,1.75981,1.29519,0.71147,0.36565,0.18716,0.11667,0.10397
"11",0.24244,0.31787,0.49064,0.7594,0.89285,1.35728,1.3426,1.31956,1.78436,1.93033,1.63453,1.09673,0.48868,0.17179,0.09631,0.08073
"12",0.32529,0.35304,0.30616,0.55921,0.66794,1.19355,1.41721,1.16577,1.38825,1.17108,1.38524,1.18233,0.67742,0.23712,0.09712,0.06282
"13",0.33779,0.29676,0.21194,0.3375,0.5424,0.94271,1.14408,1.26198,1.1771,1.09264,0.98052,1.10115,0.69232,0.40627,0.1991,0.0793
"14",0.17168,0.24568,0.21639,0.19685,0.30011,0.60669,0.79757,0.61524,0.73998,0.51494,0.59136,0.53849,0.5563,0.3748,0.20051,0.0946
"15",0.09526,0.2438,0.20454,0.23456,0.10697,0.21435,0.24376,0.41941,0.48789,0.36823,0.24839,0.19793,0.39223,0.36329,0.35483,0.17771
"16",0.08926,0.11943,0.1918,0.19152,0.08574,0.09273,0.17225,0.2544,0.30849,0.35403,0.28528,0.14456,0.12059,0.19888,0.19756,0.13621
