"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.8913,0.82254,0.318,0.2082,0.25491,0.40397,0.60279,0.6371,0.43598,0.20855,0.22876,0.20139,0.15621,0.11945,0.07818,0.04493
"2",0.82689,8.42781,1.01836,0.24219,0.16602,0.30806,0.50532,0.62119,0.65662,0.27421,0.16403,0.16328,0.15437,0.10757,0.05624,0.04759
"3",0.2273,2.34929,11.51107,0.78415,0.28039,0.22573,0.32817,0.53578,0.77517,0.44031,0.25851,0.13454,0.09688,0.09701,0.08141,0.07144
"4",0.1492,0.36748,3.38549,9.7159,0.97782,0.44241,0.3133,0.45541,0.64267,0.72848,0.40925,0.14791,0.08542,0.0656,0.0428,0.03396
"5",0.20923,0.21462,0.25479,2.04179,3.19265,1.49099,1.00184,0.88505,0.78244,1.00434,0.75314,0.42494,0.17102,0.06306,0.06975,0.06041
"6",0.39145,0.20244,0.11902,0.42403,1.56013,3.08697,1.8262,1.48197,1.28113,1.06756,1.089,0.65981,0.29756,0.08459,0.03867,0.03113
"7",0.55852,0.58624,0.39329,0.2245,0.82788,1.72759,2.759,1.91969,1.51631,1.21048,0.92584,0.7304,0.38419,0.13111,0.06337,0.0591
"8",0.72575,0.9465,0.69291,0.37726,0.63312,1.46325,1.85605,3.01568,2.21827,1.45302,1.08697,0.62786,0.40884,0.21652,0.12551,0.05375
"9",0.53512,0.93469,1.05448,0.75109,0.88047,1.41508,1.89155,2.14825,3.08198,1.9336,1.38092,0.58759,0.39769,0.20151,0.14248,0.07364
"10",0.29331,0.57377,0.69512,1.06643,0.97823,1.20131,1.46665,1.69311,1.82521,2.36251,1.41044,0.72375,0.33514,0.15589,0.1401,0.13698
"11",0.42049,0.48956,0.68966,0.86765,1.13002,1.5758,1.46103,1.41889,1.89483,2.04821,2.08905,1.13601,0.46101,0.17221,0.12559,0.1224
"12",0.72497,0.75712,0.50991,0.65263,0.87829,1.55687,1.73266,1.32319,1.49892,1.29559,1.55148,1.72815,0.74801,0.3034,0.15297,0.12103
"13",0.92109,0.82853,0.50611,0.53673,0.65507,1.1335,1.38995,1.37312,1.16062,0.99729,0.9414,1.15878,1.27793,0.542,0.33853,0.14606
"14",0.72888,1.00532,0.75972,0.41864,0.49762,0.72004,1.11894,1.03842,0.94377,0.54464,0.61504,0.72773,0.75224,1.07378,0.37021,0.18722
"15",0.44012,1.14628,0.9303,0.82459,0.318,0.61451,0.60397,1.0073,1.1012,0.82885,0.65229,0.52877,0.98878,0.86668,1.17404,0.42569
"16",0.44572,0.56949,0.77686,0.62514,0.26619,0.27796,0.46725,0.5972,0.62437,0.67815,0.65572,0.42767,0.34715,0.47726,0.43906,0.39661
