"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.50897,0.81876,0.40335,0.26713,0.40463,0.62532,0.71074,0.59795,0.37088,0.24708,0.30248,0.26895,0.1982,0.14645,0.09802,0.05311
"2",0.78394,6.35095,1.01524,0.29563,0.18981,0.42944,0.65133,0.65191,0.51829,0.25075,0.18505,0.20436,0.19165,0.12903,0.06842,0.05301
"3",0.29534,2.04518,9.37121,0.83545,0.32446,0.2788,0.4416,0.63136,0.69333,0.41498,0.24485,0.15187,0.11857,0.11816,0.09387,0.07756
"4",0.17178,0.38043,2.95243,8.56285,0.94875,0.44504,0.31649,0.49275,0.61691,0.57083,0.29093,0.1318,0.08827,0.06885,0.04379,0.03162
"5",0.28326,0.21986,0.2626,2.02168,2.7923,1.35877,0.8682,0.75214,0.68986,0.80732,0.56193,0.31653,0.12654,0.06031,0.06765,0.05739
"6",0.56294,0.26704,0.14291,0.44847,1.46498,2.71803,1.66403,1.3548,1.16822,0.97748,0.92387,0.48719,0.20279,0.07641,0.03995,0.02678
"7",0.75239,0.85504,0.63128,0.29729,0.87063,1.79955,2.56833,1.90105,1.47526,1.17956,0.94597,0.69698,0.33142,0.14759,0.07828,0.07084
"8",0.65723,0.94235,0.81467,0.46672,0.5598,1.31958,1.64945,2.45864,1.96353,1.31754,0.9781,0.55112,0.35469,0.20418,0.12352,0.04927
"9",0.62574,1.01501,1.22936,0.96664,0.89133,1.34012,1.79102,2.05654,2.73971,1.8524,1.30039,0.52346,0.3725,0.22077,0.15652,0.07429
"10",0.39482,0.70131,0.85327,1.1819,1.00857,1.16455,1.33944,1.59879,1.72714,2.07548,1.33058,0.63507,0.29495,0.15808,0.14602,0.1336
"11",0.67955,0.66884,0.89338,1.05149,1.25556,1.65891,1.4322,1.36309,1.82449,1.99327,1.89932,1.0933,0.44782,0.19101,0.14321,0.12887
"12",0.80991,0.81414,0.52142,0.64733,0.72995,1.26333,1.38916,1.06833,1.18438,1.02879,1.23371,1.17256,0.54744,0.23561,0.11905,0.08509
"13",1.35046,1.2495,0.77396,0.75946,0.70772,1.10589,1.29529,1.3163,1.05905,0.8538,0.86416,1.03561,1.01534,0.56056,0.34827,0.14291
"14",1.11932,1.58108,1.24116,0.66585,0.6778,0.86399,1.27308,1.298,1.13875,0.63317,0.70892,0.79593,0.82433,0.92411,0.41476,0.20138
"15",0.58972,1.56571,1.22061,1.05295,0.33684,0.68002,0.61501,1.11674,1.15802,0.89429,0.67427,0.51511,0.90382,0.7934,0.90351,0.37824
"16",0.47586,0.61287,0.8465,0.68305,0.2557,0.24733,0.39334,0.55554,0.56031,0.59238,0.58058,0.34276,0.26355,0.37893,0.34082,0.26559
