"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0,0,0,0,0,0,0,0,0,8.20604524144799e-92,1.20585150153575e-05,3.16436833811157e-125
"5-9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34955577649482e-05,7.64591325099167e-79,2.38392072802515e-65
"10-14",0,0,0.00800841814220097,0.00383472706977855,0.00649321824845353,0.0020015589190274,0.0172430417520652,0.00473581988564133,0.0162711966977251,0.00896128024183356,0.0029188932353058,4.63506963421591e-09,3.8796026179427e-18,2.79780317050874e-53,4.95800769991485e-06,3.77718082671442e-102
"15-19",0,0,0.00683483517281904,0.259041726753696,0.329171789911651,0.201684141569058,0.198185143693226,0.177543810159517,0.193608283902968,0.14471042311109,0.0699040412841045,0.0213868120589191,0.00345476023061018,8.34699601569499e-06,2.85972822398043e-06,1.8892612209825e-31
"20-24",0,0,0.014185068023931,0.22185895364119,0.681001619233071,0.695325686662241,0.611712255281232,0.649536486854192,0.480044441074779,0.364501149469678,0.228937041036516,0.0678162416284501,0.0150880079177925,9.86113406685426e-06,1.32609387026297e-05,3.74318048013413e-06
"25-29",0,0,0.0194355054114816,0.207755197059214,0.690455446328411,1.23872851274336,0.934330008955868,0.8791311242713,0.795002630453105,0.528433545181771,0.357313367548619,0.106434111896911,0.0214406025750436,1.60674627209247e-05,1.01182607649525e-05,3.01442534314934e-06
"30-34",0,0,0.0232122472439811,0.118344504769416,0.504293177925188,0.885826815249,1.22193162722022,1.03274620100755,0.905949599165011,0.701233630184032,0.347938890211713,0.130888956016077,0.0211616872545972,1.63795562861678e-05,4.10100850711255e-06,3.49478980213196e-06
"35-39",0,0,0.0137567579241977,0.227485810886135,0.403151482841588,0.80184092673919,0.905060580820724,1.20527450656215,1.14776936799606,0.753025578433019,0.451022051208389,0.115707339487597,0.0144533881282271,1.22988529792325e-05,9.13512833417088e-06,6.02097415838912e-06
"40-44",0,0,0.0152167215225173,0.13907218337727,0.464489537844313,0.776272370676824,0.965116934335294,0.995371655127763,1.19368322333325,0.909311459772331,0.537609956308604,0.120254166234795,0.0207450846227652,1.43626161051225e-05,1.0272156668633e-05,1.29503893416799e-05
"45-49",0,0,0.0192480456769114,0.164809233940192,0.300132481543252,0.553238937509624,0.747695362647416,0.792211207284205,0.802257473604581,0.742322808916738,0.393328162316073,0.129039204168232,0.0156653346042385,1.62810370309725e-05,1.08243610478748e-05,6.09172338735696e-06
"50-54",0,0,0.016799086402526,0.0995057329904522,0.201653843022739,0.449923537199566,0.552823141470708,0.554792315561514,0.735367440222292,0.672478169366518,0.42025640819713,0.131451099337808,0.0151121422008506,1.18079721296951e-05,1.18226645434458e-05,1.01613164687284e-05
"55-59",0,0,0.0171903332281498,0.0444076241264949,0.0902348078027456,0.176826429777791,0.259152261943695,0.235488552491339,0.294683087177337,0.220388158426441,0.168076080912201,0.0678076271826611,0.00946748850198881,1.34978303537199e-05,6.58739925151983e-06,6.65716755912865e-06
"60-64",0,0,0.00413781988837133,0.0042935849093444,0.0255731428304452,0.0485610643349798,0.0563868711033085,0.0642217017244634,0.0679725995222615,0.0629251487294734,0.0395488820386842,0.0196824864714163,0.00231555418909028,2.03019580125905e-05,8.26102155746138e-06,1.48398182163668e-05
"65-69",7.60299521145735e-06,3.36326753855134e-06,7.64855295622674e-06,2.27621532264405e-05,3.14933351214398e-05,7.89308410220945e-05,7.24212841810556e-05,2.91748202958044e-05,6.61873731914089e-05,5.95693237614859e-05,7.70713499676886e-05,5.30687747550547e-05,4.66030116729831e-05,1.41633235369618e-05,2.49066205094463e-05,1.19109037525741e-05
"70-74",5.78863840280149e-55,7.88785149416723e-42,2.54830412385497e-06,2.60648190953352e-05,1.68036205292059e-05,2.12446738801606e-05,3.57267602914169e-05,4.023770328994e-05,3.56401934838515e-05,3.09769252220888e-05,2.13053382126404e-05,4.49709413682317e-05,2.61368372879117e-05,1.68266203450558e-05,1.66514322038967e-05,2.60822813286115e-05
"75+",2.3572127101662e-141,9.06871674094152e-97,1.18637122150631e-89,9.39934076423345e-22,4.66000451729006e-05,4.6966401121415e-05,4.69316082196987e-05,8.42184043793238e-05,2.77788167870324e-05,1.03294377711226e-05,1.06803617525547e-05,7.26341826022827e-75,1.1007397129367e-65,1.02831671225411e-05,5.16902993520797e-49,8.28040508722867e-43
