"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",1.17383494065218,0.487452084317272,0.230938921488528,0.194319513444252,0.281329124521574,0.461108164343393,0.600434483542787,0.51637311321859,0.349684657865672,0.251777256345188,0.279143694928951,0.210706928775709,0.111655747961074,0.0940470166180547,0.0600129684302392,0.0276634672726081
"5-9",0.530760787009436,1.91777479302306,0.650701616464605,0.205601935778129,0.149124604570853,0.317625596708278,0.436941781611575,0.486438219903165,0.411520397719614,0.200986414840292,0.147628643961869,0.138304662788467,0.102535270997533,0.0748981878712715,0.0361365583545398,0.0261441120293567
"10-14",0.158321197603449,0.807439219602271,2.64423075011332,0.470789254155772,0.266676562871458,0.242045153719678,0.314823262262764,0.377279272741768,0.435709294917483,0.281371666768847,0.169561709520114,0.0953297030664388,0.0534027199952139,0.0540728310325859,0.0390555331912291,0.0329285903791179
"15-19",0.0984651881084445,0.297340714126165,1.28090589260742,4.3756710294471,0.907209110151631,0.455400327336615,0.324967928736699,0.389939920265447,0.399372936504357,0.36105488292084,0.149521522635113,0.0671308551147954,0.0392767222097766,0.0350032601720242,0.0212376920200151,0.0138157433173982
"20-24",0.119713965640546,0.146271691998684,0.201900234658752,1.48098198141274,2.05108643289467,0.870165949209673,0.581008844752208,0.386778648084859,0.30081869781061,0.356616028290139,0.198665130399968,0.118955148359791,0.038201573615222,0.0287368121860254,0.0320176081794457,0.0247148086746675
"25-29",0.222086298769707,0.11075021779769,0.0923094463060839,0.411055849715262,0.983472021497573,1.34693198521675,0.86297110944326,0.579132789678157,0.387265547408372,0.356423409495727,0.276371969019786,0.133980565197242,0.0421336556020323,0.0307428766928886,0.0195997981955068,0.00968100410133408
"30-34",0.252779253486033,0.172352184495826,0.242382263497385,0.220082231821868,0.499036961526888,0.787414584624373,1.11273992087146,0.796211129563502,0.501093365915912,0.389184900198488,0.362112802567499,0.236291946697458,0.0863272304927132,0.0616898525817569,0.0316400728048301,0.0288104289420618
"35-39",0.22989809535339,0.259957239169546,0.181286405216982,0.152847964309419,0.311826453192666,0.587390755239537,0.828305482970244,1.01136999239526,0.705257952317099,0.460132651241271,0.287732493902723,0.206180914835264,0.141328191579775,0.0969018661727577,0.0581487874280015,0.0225498701350706
"40-44",0.157381590606085,0.195917575727366,0.28417466942738,0.207866827270072,0.319555221262926,0.411812199502049,0.64045648413117,0.693579808476188,0.752349394961619,0.465745999978673,0.293154527017991,0.124677219941343,0.0942626350283835,0.0656262940872496,0.0508597167014245,0.0210438847684564
"45-49",0.0483354721410225,0.0762244173087607,0.0919281758376131,0.199649908343647,0.235036165507459,0.313130899927757,0.43268987115783,0.48441256923193,0.464793106619319,0.48427524074544,0.345686985409577,0.143096158594934,0.0812280994951348,0.0527506614687601,0.0478925665373745,0.0362413792958307
"50-54",0.0705232865799235,0.126980884982748,0.133455809098798,0.225913240379391,0.353349127413725,0.481399161520374,0.397513707318669,0.386440988555542,0.437328869815636,0.496617061497762,0.357865366991885,0.256369772563397,0.124348943593936,0.0673719619145828,0.0452342686700627,0.0298854167816085
"55-59",0.0868040903660614,0.0741019224749164,0.0738035001738595,0.099744822738997,0.213930091982663,0.38702006061176,0.45190225823636,0.375779511178087,0.367307451726864,0.26315268648904,0.354252273851574,0.299060347683543,0.154543699116717,0.0855599127293838,0.0483065024790376,0.0257057414612991
"60-64",0.0465653190442381,0.0488523878671944,0.0389241146629176,0.0704214398678214,0.127117251296629,0.209951788509392,0.244152007139162,0.293276110216423,0.252927759687228,0.208208903356554,0.172845068369058,0.193692147316536,0.134449619605685,0.0972342434211294,0.0694708497370275,0.0285697706818446
"65-69",0.0439028645863779,0.0556880524865484,0.0327607468659914,0.0392736779468526,0.0981893173633075,0.164595800868672,0.234771312139201,0.210865343597899,0.200735848495478,0.162255854610903,0.164493727390465,0.161067271012904,0.121910824587062,0.10533973468656,0.0568549814401531,0.0332459116699305
"70-74",0.0167561544751725,0.0340832319287538,0.0454580409068782,0.0966065198284512,0.0767207598943505,0.120073249821941,0.139347835981017,0.194384723911153,0.227622706517418,0.174408640182252,0.130842159401431,0.118158197807651,0.155197635065276,0.138718653017379,0.130251194043491,0.0465356385532136
"75+",0.0253362618644292,0.0247321645815754,0.0338162451548368,0.0212744649189986,0.0398765179055456,0.0571489668536541,0.122264354830601,0.098353492781033,0.0938331910492224,0.118298436011803,0.0791431630865825,0.0690625462207045,0.0521642588926783,0.0689745361547033,0.0611983906816944,0.0406897859593985
