"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.39128,1.90299,1.09803,0.67291,1.03001,1.49477,1.64819,1.42952,0.97664,0.67417,0.81485,0.74361,0.54682,0.42995,0.28637,0.14414
"2",1.54615,5.79459,2.02257,0.72867,0.43766,1.0207,1.29867,1.34054,1.15687,0.59666,0.46796,0.51066,0.49449,0.33809,0.1751,0.12914
"3",0.77845,2.62657,7.08205,1.34281,0.66241,0.60276,0.8261,1.06966,1.19421,0.77205,0.50326,0.32301,0.25731,0.25697,0.19412,0.15947
"4",0.46826,0.92363,2.82023,6.82807,1.79457,0.92624,0.63306,0.90726,1.00112,0.92459,0.51777,0.25931,0.19472,0.15188,0.09214,0.061
"5",0.66734,0.50463,0.54382,2.48627,3.69451,1.92808,1.17122,0.88726,0.80202,0.94618,0.65119,0.4368,0.20783,0.11691,0.12069,0.09775
"6",1.09046,0.54411,0.276,0.70678,1.75197,2.4674,1.63803,1.21619,0.9586,0.85784,0.80338,0.47363,0.25348,0.12284,0.05568,0.03301
"7",0.93888,1.05231,0.71055,0.3205,0.7581,1.39738,1.72143,1.42003,1.06722,0.85031,0.70811,0.55492,0.31045,0.15358,0.06937,0.06127
"8",0.97514,1.30329,0.96736,0.53319,0.47566,0.98649,1.2602,1.6321,1.38275,0.94388,0.70352,0.45581,0.34081,0.20218,0.10897,0.04346
"9",0.68486,1.05208,0.98343,0.67563,0.5652,0.80902,1.12436,1.24384,1.42305,1.08959,0.78226,0.34937,0.29029,0.16129,0.09196,0.04321
"10",0.42682,0.77042,0.7535,0.79771,0.57145,0.67053,0.80312,0.96937,0.96721,1.00631,0.75109,0.41592,0.22024,0.11431,0.07523,0.06476
"11",0.56635,0.59883,0.71152,0.67515,0.63336,0.82775,0.79279,0.76808,0.99074,1.05504,0.85225,0.62175,0.28494,0.10858,0.06721,0.05304
"12",0.83112,0.92526,0.53496,0.57588,0.50613,0.79198,0.88055,0.71207,0.76949,0.71153,0.79609,0.62059,0.37687,0.16239,0.06439,0.04523
"13",0.82364,0.84053,0.49682,0.44203,0.3668,0.57754,0.66451,0.72309,0.63947,0.58129,0.56317,0.56431,0.33225,0.20849,0.11298,0.04495
"14",0.5839,0.89652,0.66993,0.32386,0.29503,0.4147,0.54466,0.47377,0.47651,0.30571,0.38331,0.34595,0.27853,0.1854,0.10754,0.05162
"15",0.25561,0.70782,0.49888,0.39423,0.10297,0.20576,0.17383,0.29545,0.29121,0.23614,0.22805,0.15907,0.23658,0.18378,0.16133,0.08993
"16",0.23242,0.31839,0.40219,0.29835,0.0929,0.08405,0.11939,0.18,0.17022,0.1782,0.20232,0.11359,0.07525,0.10922,0.08025,0.04692
