"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.29605,0.82214,0.41559,0.26876,0.42158,0.64642,0.72096,0.61032,0.38515,0.2582,0.31725,0.28364,0.20962,0.15596,0.10383,0.05527
"2",0.80258,7.62307,1.13189,0.32499,0.20094,0.46998,0.69265,0.69025,0.55759,0.27386,0.20228,0.22419,0.21178,0.14299,0.07559,0.05789
"3",0.31692,2.26746,9.89576,0.84676,0.33653,0.29411,0.45796,0.64228,0.70652,0.42721,0.25511,0.15917,0.12527,0.12511,0.09862,0.08115
"4",0.21162,0.46592,3.02713,7.91005,1.15844,0.56921,0.40753,0.60915,0.74778,0.68465,0.35699,0.16687,0.11428,0.08715,0.0533,0.03809
"5",0.37891,0.28965,0.3492,2.20546,3.46663,1.83636,1.17977,1.0125,0.9162,1.04567,0.74439,0.44033,0.20883,0.09085,0.08901,0.07498
"6",0.72329,0.34583,0.18565,0.59051,1.89534,3.19216,1.975,1.56361,1.32868,1.12143,1.08004,0.61031,0.30919,0.11785,0.04942,0.03258
"7",0.69138,0.79943,0.58968,0.296,0.93947,1.8113,2.48758,1.89579,1.49175,1.19861,0.95202,0.72994,0.37759,0.15851,0.06996,0.06252
"8",0.76938,1.09266,0.93899,0.56835,0.69555,1.4675,1.82269,2.61152,2.10785,1.41248,1.07254,0.64726,0.43876,0.24592,0.13728,0.0545
"9",0.66115,1.05884,1.24244,0.99088,0.99711,1.40777,1.85894,2.08752,2.69282,1.8752,1.35147,0.58454,0.44098,0.24009,0.15169,0.07204
"10",0.45465,0.81145,0.95469,1.29396,1.13148,1.25502,1.43657,1.68506,1.79904,2.08849,1.4067,0.72571,0.3663,0.18959,0.15113,0.13685
"11",0.78849,0.7569,0.99681,1.15923,1.39736,1.7907,1.56205,1.4588,1.93673,2.10058,1.96404,1.23218,0.53886,0.21383,0.14752,0.12985
"12",1.24922,1.24179,0.77296,0.95952,1.08108,1.74146,1.88105,1.39987,1.51664,1.33152,1.6344,1.56048,0.82129,0.34301,0.16202,0.11537
"13",1.47827,1.36742,0.83914,0.82207,0.81896,1.29267,1.49262,1.53292,1.28526,1.08061,1.06129,1.22028,0.99775,0.55907,0.32933,0.13433
"14",0.95203,1.34255,1.04846,0.56184,0.58933,0.81407,1.13362,1.06542,1.00288,0.57963,0.66503,0.68213,0.66598,0.64998,0.30593,0.1469
"15",0.47103,1.24766,0.95545,0.81403,0.24917,0.51011,0.45759,0.82119,0.83763,0.63878,0.49159,0.36833,0.6318,0.54851,0.5981,0.26257
"16",0.40357,0.52275,0.71777,0.58095,0.20956,0.19795,0.30973,0.44837,0.44919,0.45883,0.45523,0.26408,0.19834,0.28719,0.25348,0.18739
