"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.60232,1.11888,0.63893,0.40684,0.68269,1.05028,1.1918,1.0153,0.6442,0.42164,0.51507,0.46019,0.3405,0.25551,0.17072,0.09028
"2",0.96884,7.5685,1.51904,0.4828,0.29857,0.72395,1.06768,1.08788,0.89077,0.42788,0.31659,0.34358,0.325,0.22013,0.11641,0.08913
"3",0.37975,2.24145,8.93445,0.96203,0.40606,0.35585,0.55156,0.79035,0.89735,0.53284,0.31833,0.19571,0.15166,0.15165,0.11943,0.09856
"4",0.21091,0.47118,2.65543,6.86635,1.18534,0.58066,0.41058,0.6247,0.77485,0.71401,0.36889,0.16693,0.11224,0.08836,0.05615,0.03978
"5",0.36153,0.28068,0.34351,2.12111,3.28328,1.56597,0.94938,0.74009,0.69988,0.87139,0.58678,0.34501,0.13614,0.07775,0.08892,0.07477
"6",0.76942,0.36771,0.19672,0.61714,1.75468,2.88683,1.67998,1.2045,0.96429,0.85641,0.8407,0.4575,0.19784,0.0969,0.054,0.03506
"7",0.8224,0.93989,0.69257,0.33315,0.85424,1.6211,2.27492,1.58244,1.13724,0.87077,0.7586,0.58076,0.30216,0.15513,0.08506,0.07626
"8",0.89539,1.28395,1.11011,0.63686,0.59362,1.20523,1.5743,2.28373,1.63287,1.03162,0.74242,0.49513,0.41894,0.26846,0.16634,0.06602
"9",0.58196,0.94602,1.1402,0.9121,0.74138,0.96921,1.30495,1.45973,1.92201,1.20644,0.81294,0.33437,0.28981,0.1971,0.1413,0.06687
"10",0.32139,0.59369,0.7049,0.99188,0.76878,0.78219,0.865,0.99981,1.06308,1.28203,0.82183,0.37265,0.2015,0.12149,0.11474,0.1032
"11",0.53878,0.58786,0.77532,0.88354,0.944,1.13216,0.92288,0.81685,1.0579,1.16246,1.12045,0.67594,0.30488,0.14336,0.10926,0.09565
"12",0.85787,0.89906,0.58052,0.70705,0.7129,1.1067,1.12564,0.77729,0.78251,0.69537,0.90936,0.926,0.49832,0.23793,0.12131,0.08533
"13",0.97799,0.90466,0.56063,0.56015,0.49648,0.73683,0.85269,0.84428,0.64354,0.49312,0.51987,0.64997,0.66673,0.38652,0.23831,0.09727
"14",0.65204,0.91794,0.72401,0.38849,0.39562,0.49977,0.74087,0.74402,0.65359,0.3547,0.39423,0.44695,0.46163,0.51138,0.23409,0.11214
"15",0.27287,0.72138,0.56579,0.49072,0.15336,0.30983,0.2828,0.51226,0.52495,0.40405,0.30871,0.23422,0.40376,0.35516,0.39634,0.17411
"16",0.22838,0.29671,0.4098,0.33647,0.12443,0.11996,0.18891,0.27095,0.27209,0.28137,0.27626,0.16295,0.1251,0.18017,0.16213,0.12273
