"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.57288,0.85929,0.39997,0.26984,0.38244,0.57609,0.66467,0.56645,0.36401,0.24121,0.29036,0.26055,0.19121,0.14536,0.09688,0.05041
"2",0.91218,7.5976,1.14998,0.33782,0.20204,0.46721,0.67439,0.69235,0.57983,0.28112,0.20922,0.22414,0.21353,0.14515,0.07642,0.0576
"3",0.29634,2.19972,9.68068,0.83537,0.31051,0.27034,0.408,0.57521,0.66017,0.39946,0.24161,0.14905,0.11549,0.11547,0.08999,0.07403
"4",0.16077,0.35843,3.05382,9.19167,0.80095,0.37939,0.26602,0.40642,0.49824,0.46677,0.24561,0.1124,0.07564,0.05975,0.03808,0.02628
"5",0.27037,0.20982,0.24888,1.68863,2.45876,1.33785,0.88979,0.78611,0.69821,0.7731,0.55193,0.30682,0.10743,0.05539,0.06295,0.05197
"6",0.65885,0.31784,0.16799,0.49267,1.64349,2.76435,1.7411,1.38684,1.18709,0.98753,0.94587,0.48918,0.17683,0.07934,0.04463,0.02804
"7",0.90646,1.02075,0.73858,0.33274,1.00173,1.91894,2.662,2.00625,1.54438,1.21726,1.00459,0.72264,0.3232,0.16088,0.08915,0.07931
"8",0.95011,1.34884,1.13481,0.6067,0.70667,1.47995,1.90616,2.74751,2.18645,1.43652,1.0776,0.62202,0.42588,0.26613,0.16488,0.0655
"9",0.68277,1.1108,1.28621,0.97242,0.92917,1.30921,1.76997,2.0114,2.60705,1.79626,1.28076,0.49456,0.32628,0.21254,0.15129,0.07136
"10",0.40778,0.73322,0.85714,1.12027,0.96241,1.08568,1.27536,1.51094,1.62665,1.84455,1.25074,0.57948,0.2429,0.13866,0.13175,0.11611
"11",0.62376,0.64768,0.85052,0.954,1.10208,1.45495,1.31645,1.26104,1.69347,1.80642,1.64,0.94972,0.34531,0.15424,0.11796,0.10023
"12",1.22096,1.23491,0.77654,0.92702,0.98745,1.54128,1.6267,1.19661,1.27843,1.13432,1.42153,1.28722,0.65552,0.31276,0.15808,0.10948
"13",1.5592,1.45815,0.8931,0.85734,0.74553,1.07755,1.24954,1.23253,0.95509,0.73772,0.79019,0.96579,0.93817,0.56929,0.35348,0.14286
"14",1.19967,1.70389,1.33254,0.69716,0.6892,0.83274,1.2469,1.2451,1.09546,0.58749,0.66627,0.75326,0.76852,0.81607,0.39356,0.1876
"15",0.56711,1.51367,1.15299,0.98872,0.3015,0.61014,0.55624,0.96989,1.00491,0.78064,0.60637,0.45391,0.78608,0.68414,0.72836,0.32671
"16",0.49124,0.64067,0.87123,0.69913,0.25152,0.23756,0.37435,0.53758,0.54255,0.55727,0.55909,0.32379,0.24453,0.35559,0.31339,0.22627
