"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1.6566,0.87928,0.37427,0.2299,0.31942,0.52691,0.74978,0.70617,0.42954,0.24224,0.29064,0.24851,0.18713,0.14523,0.09832,0.05176
"2",0.82026,7.78405,1.12068,0.2753,0.16668,0.35586,0.56062,0.75394,0.635,0.27486,0.18038,0.18321,0.1804,0.12344,0.06493,0.05287
"3",0.22082,2.17635,10.93807,0.74838,0.24977,0.20199,0.29728,0.50194,0.71907,0.4031,0.20962,0.12114,0.09283,0.08824,0.06981,0.06073
"4",0.11119,0.27971,2.7646,7.25304,0.74516,0.33536,0.24227,0.35348,0.50098,0.50692,0.27064,0.11171,0.06912,0.0521,0.03114,0.02329
"5",0.28852,0.25328,0.32723,2.21003,4.10248,2.00837,1.31399,1.1363,1.01823,1.28259,0.9146,0.52884,0.26209,0.09687,0.09155,0.07609
"6",1.20876,0.5359,0.29869,0.97799,3.36794,5.86489,3.08728,2.22752,1.82281,1.62909,1.78679,1.06461,0.54471,0.20904,0.0981,0.0625
"7",2.03673,1.77925,1.20405,0.62587,1.87815,3.34969,5.38998,3.35579,2.38806,1.87067,1.67759,1.36795,0.77009,0.37822,0.18666,0.17294
"8",1.46543,2.09177,1.51773,0.7767,1.05696,2.03587,2.63058,4.40551,2.92158,1.87437,1.3799,0.92952,0.73841,0.4396,0.26198,0.10482
"9",0.63713,1.0919,1.40289,0.96632,1.10787,1.51397,1.97887,2.23381,3.29429,2.00869,1.39899,0.62515,0.50873,0.26409,0.17187,0.08066
"10",0.26627,0.50735,0.67376,0.97386,1.00663,1.13288,1.35153,1.5306,1.66948,2.14507,1.28429,0.67965,0.35825,0.16524,0.12281,0.10905
"11",0.29097,0.33793,0.46177,0.59018,0.87376,1.27585,1.2063,1.16962,1.57292,1.68147,1.6222,0.93675,0.4129,0.13039,0.07987,0.06786
"12",0.37788,0.41517,0.28635,0.37301,0.59534,1.05108,1.20305,0.99535,1.18624,0.99645,1.13608,1.14131,0.54217,0.16844,0.07347,0.05073
"13",0.28004,0.26607,0.16543,0.19776,0.39402,0.72463,0.78743,0.8705,0.87345,0.83296,0.72181,0.77066,0.54816,0.19757,0.09637,0.04044
"14",0.07178,0.10698,0.07924,0.05014,0.11596,0.26769,0.28144,0.16399,0.25316,0.1981,0.23419,0.18756,0.17041,0.12437,0.03796,0.0181
"15",0.03076,0.08027,0.06238,0.05895,0.02239,0.04025,0.04061,0.0707,0.07493,0.0615,0.05244,0.04249,0.06978,0.05969,0.0881,0.03554
"16",0.02205,0.03281,0.03817,0.03591,0.01617,0.01826,0.02509,0.03383,0.03045,0.03206,0.03173,0.01945,0.01562,0.02271,0.02103,0.0198
