"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2.2147,1.18033,0.563,0.36154,0.54236,0.85191,1.00345,0.86679,0.53256,0.34493,0.41869,0.37046,0.27465,0.20415,0.13631,0.07463
"2",1.11049,9.2138,1.38809,0.39345,0.24589,0.56791,0.87108,0.90201,0.74015,0.35498,0.25496,0.27457,0.25726,0.17406,0.09176,0.07154
"3",0.35288,2.6323,11.62699,0.9944,0.38115,0.32972,0.52054,0.75288,0.85636,0.51832,0.30197,0.1845,0.14179,0.13992,0.11115,0.09248
"4",0.23236,0.51571,3.66229,10.1182,1.36189,0.6512,0.47554,0.70384,0.88605,0.8371,0.43576,0.19841,0.12842,0.09574,0.05923,0.04315
"5",0.385,0.2985,0.36217,2.55823,4.00926,2.01904,1.31249,1.14668,1.02823,1.18768,0.84528,0.49078,0.22035,0.08972,0.09435,0.07967
"6",0.7451,0.35314,0.18881,0.6401,2.09127,3.468,2.07905,1.63538,1.38274,1.17707,1.13503,0.64458,0.30646,0.10907,0.05265,0.03564
"7",0.74425,0.85826,0.62396,0.3296,1.04675,1.89583,2.71091,1.99296,1.5513,1.24874,0.9907,0.76418,0.38129,0.15259,0.0743,0.06752
"8",0.70781,1.01809,0.86013,0.54699,0.73233,1.44886,1.78934,2.65757,2.09223,1.4074,1.06177,0.63165,0.40307,0.21799,0.12651,0.05079
"9",0.5454,0.91028,1.08704,0.9112,0.99076,1.36084,1.77786,2.00224,2.64848,1.82041,1.30886,0.56439,0.38976,0.19873,0.1327,0.06301
"10",0.3445,0.62616,0.74288,1.10635,0.98564,1.14035,1.33864,1.55532,1.65708,1.95957,1.26921,0.66968,0.30333,0.14103,0.11783,0.10782
"11",0.49618,0.57032,0.75353,0.90394,1.07054,1.46134,1.35229,1.30357,1.73706,1.86025,1.73874,1.03663,0.41077,0.14587,0.10221,0.09194
"12",0.86676,0.93458,0.61119,0.77499,0.87496,1.424,1.59342,1.23719,1.38232,1.19647,1.41928,1.38899,0.65361,0.25403,0.12322,0.08864
"13",1.06821,0.99601,0.61567,0.6384,0.66981,1.05134,1.21792,1.26677,1.0828,0.92774,0.89122,1.02676,0.8762,0.44666,0.26757,0.11064
"14",0.75202,1.07094,0.83788,0.45195,0.48017,0.64879,0.92009,0.89034,0.82044,0.47356,0.53614,0.57504,0.57488,0.63586,0.27589,0.13375
"15",0.43462,1.15929,0.90663,0.77987,0.2501,0.50316,0.45509,0.82113,0.85233,0.65341,0.49854,0.38406,0.66602,0.58807,0.67471,0.27892
"16",0.42269,0.54463,0.74913,0.60855,0.22761,0.22028,0.34745,0.48959,0.4892,0.518,0.51023,0.30415,0.23461,0.33653,0.29951,0.23872
